condition,split,protein,protein_length,eligible_start_index_0based,eligible_end_index_0based_exclusive,terminal_exclusion_used,n_flexibility_supporting_bands,n_rigidity_supporting_bands,n_total_bands,profile_identity_max_abs_error
esm2_frozen_bilstm_attn,train,1f20_A,435,1,434,0,14,14,28,2.3189161701964167e-09
esm2_frozen_bilstm_attn,train,1f3u_G,118,1,117,0,5,4,9,6.316158707164732e-09
esm2_frozen_bilstm_attn,train,1f5n_A,592,1,591,0,16,15,31,1.471929245155934e-09
esm2_frozen_bilstm_attn,train,1fd3_A,41,1,40,0,1,0,1,5.243796508125342e-09
esm2_frozen_bilstm_attn,train,1feh_A,574,1,573,0,12,12,24,2.2917101549779773e-09
esm2_frozen_bilstm_attn,train,1fk5_A,93,1,92,0,3,2,5,1.6244647405017076e-08
esm2_frozen_bilstm_attn,train,1fn9_A,365,1,364,0,11,10,21,1.012778860776109e-09
esm2_frozen_bilstm_attn,train,1fs1_A,53,1,52,0,1,0,1,1.012830530555675e-08
esm2_frozen_bilstm_attn,train,1fx4_A,231,1,230,0,7,6,13,2.358556683290658e-09
esm2_frozen_bilstm_attn,train,1g2r_A,100,1,99,0,4,3,7,1.8678777635727783e-08
esm2_frozen_bilstm_attn,train,1g38_A,393,1,392,0,14,14,28,1.1790179943460544e-09
esm2_frozen_bilstm_attn,train,1g6g_A,127,1,126,0,4,3,7,7.864855433581397e-09
esm2_frozen_bilstm_attn,train,1g7s_A,594,1,593,0,16,16,32,1.0523945048745986e-09
esm2_frozen_bilstm_attn,train,1g9g_A,629,1,628,0,14,14,28,1.396992299618205e-09
esm2_frozen_bilstm_attn,train,1gnt_A,553,1,552,0,14,14,28,1.2204777743995976e-09
esm2_frozen_bilstm_attn,train,1gpj_A,404,1,403,0,11,10,21,1.7212933300925215e-09
esm2_frozen_bilstm_attn,train,1gqe_A,365,1,364,0,9,9,18,2.181649749743997e-09
esm2_frozen_bilstm_attn,train,1gqv_A,135,1,134,0,4,3,7,7.663345513719833e-09
esm2_frozen_bilstm_attn,train,1gwe_A,503,1,502,0,12,11,23,9.522059807309802e-10
esm2_frozen_bilstm_attn,train,1h02_B,70,1,69,0,1,1,2,1.0143953232955027e-08
esm2_frozen_bilstm_attn,train,1h16_A,759,1,758,0,18,18,36,1.388876569308195e-09
esm2_frozen_bilstm_attn,train,1h8e_G,272,1,271,0,7,7,14,1.3536743947994978e-09
esm2_frozen_bilstm_attn,train,1hbn_E,442,1,441,0,10,9,19,1.4040986151542256e-09
esm2_frozen_bilstm_attn,train,1hq0_A,295,1,294,0,8,7,15,9.214008445113109e-10
esm2_frozen_bilstm_attn,train,1huf_A,140,1,139,0,4,3,7,3.979621965299884e-09
esm2_frozen_bilstm_attn,train,1hw1_B,239,1,238,0,6,5,11,3.4399039172683388e-09
esm2_frozen_bilstm_attn,train,1hye_A,313,1,312,0,7,7,14,3.304269746706723e-09
esm2_frozen_bilstm_attn,train,1i2t_A,61,1,60,0,2,2,4,4.576057532901245e-09
esm2_frozen_bilstm_attn,train,1i4m_A,108,1,107,0,2,1,3,6.065507207608789e-09
esm2_frozen_bilstm_attn,train,1ifg_A,140,1,139,0,6,5,11,3.685475036263597e-09
esm2_frozen_bilstm_attn,train,1ig0_B,319,1,318,0,13,12,25,1.6740617780897082e-09
esm2_frozen_bilstm_attn,train,1ig3_A,263,1,262,0,8,7,15,5.691797255735764e-09
esm2_frozen_bilstm_attn,train,1ikp_A,613,1,612,0,20,19,39,1.0109830195226266e-09
esm2_frozen_bilstm_attn,train,1iuq_A,367,1,366,0,8,8,16,1.919183478804598e-09
esm2_frozen_bilstm_attn,train,1j0p_A,108,1,107,0,5,4,9,1.0198672129035913e-08
esm2_frozen_bilstm_attn,train,1j2l_A,70,1,69,0,3,2,5,9.016594582078596e-09
esm2_frozen_bilstm_attn,train,1j5u_A,136,1,135,0,5,4,9,9.003378487193459e-09
esm2_frozen_bilstm_attn,train,1j8r_A,196,1,195,0,5,5,10,2.0381882848141686e-09
esm2_frozen_bilstm_attn,train,1jnr_C,643,1,642,0,15,14,29,7.681641989165655e-10
esm2_frozen_bilstm_attn,train,1jq5_A,370,1,369,0,11,11,22,2.190961190251528e-09
esm2_frozen_bilstm_attn,train,1juv_A,193,1,192,0,4,3,7,4.019535260191276e-09
esm2_frozen_bilstm_attn,train,1jwq_A,179,1,178,0,5,5,10,5.061455254917746e-09
esm2_frozen_bilstm_attn,train,1jyo_F,105,1,104,0,3,2,5,3.105077084342156e-09
esm2_frozen_bilstm_attn,train,1k5n_A,276,1,275,0,7,6,13,1.6886456677411843e-09
esm2_frozen_bilstm_attn,train,1k7c_A,233,1,232,0,5,4,9,5.319370943723811e-09
esm2_frozen_bilstm_attn,train,1k7j_A,206,1,205,0,8,7,15,2.5200137532266353e-09
esm2_frozen_bilstm_attn,train,1k8k_E,178,1,177,0,5,4,9,3.941365456228141e-09
esm2_frozen_bilstm_attn,train,1kew_A,361,1,360,0,10,9,19,2.0788581966968422e-09
esm2_frozen_bilstm_attn,train,1kgq_A,274,1,273,0,7,6,13,2.0895546404275933e-09
esm2_frozen_bilstm_attn,train,1l2p_A,61,1,60,0,2,1,3,3.0891522673215377e-09
esm2_frozen_bilstm_attn,train,1l2w_I,69,1,68,0,3,2,5,1.1862375082216658e-08
esm2_frozen_bilstm_attn,train,1lc3_A,294,1,293,0,11,11,22,7.916723721024255e-09
esm2_frozen_bilstm_attn,train,1lfp_A,249,1,248,0,7,7,14,4.1314209831000426e-09
esm2_frozen_bilstm_attn,train,1lj5_A,379,1,378,0,11,11,22,2.963824741186727e-09
esm2_frozen_bilstm_attn,train,1lln_A,262,1,261,0,7,7,14,1.2513554636939261e-09
esm2_frozen_bilstm_attn,train,1lri_A,98,1,97,0,2,2,4,9.73219371758205e-09
esm2_frozen_bilstm_attn,train,1lsl_A,113,1,112,0,4,3,7,2.4317274860408133e-09
esm2_frozen_bilstm_attn,train,1m15_A,357,1,356,0,9,9,18,3.427664374555661e-09
esm2_frozen_bilstm_attn,train,1m5q_I,130,1,129,0,3,3,6,3.883040111674063e-09
esm2_frozen_bilstm_attn,train,1m8s_A,124,1,123,0,3,2,5,5.45287903719327e-09
esm2_frozen_bilstm_attn,train,1mk0_A,97,1,96,0,2,3,5,5.881791498296707e-09
esm2_frozen_bilstm_attn,train,1mlw_A,301,1,300,0,6,5,11,2.8510199756581756e-09
esm2_frozen_bilstm_attn,train,1mv8_C,436,1,435,0,14,12,26,1.6568861838095472e-09
esm2_frozen_bilstm_attn,train,1n2m_A,165,1,164,0,4,4,8,5.224605637010882e-09
esm2_frozen_bilstm_attn,train,1n7z_A,334,1,333,0,9,8,17,1.5761765226329771e-09
esm2_frozen_bilstm_attn,train,1n8u_A,112,1,111,0,4,3,7,1.3827730960258577e-08
esm2_frozen_bilstm_attn,train,1ng6_A,148,1,147,0,3,3,6,2.167571455657935e-09
esm2_frozen_bilstm_attn,train,1nh2_B,53,1,52,0,2,1,3,3.2667033522670863e-09
esm2_frozen_bilstm_attn,train,1nij_A,318,1,317,0,10,10,20,1.4194760922237037e-09
esm2_frozen_bilstm_attn,train,1njh_A,119,1,118,0,6,5,11,3.0764524261428505e-09
esm2_frozen_bilstm_attn,train,1o0s_A,605,1,604,0,20,19,39,1.2041270203155818e-09
esm2_frozen_bilstm_attn,train,1o1x_A,155,1,154,0,4,3,7,7.588279338222037e-09
esm2_frozen_bilstm_attn,train,1o4k_A,108,1,107,0,3,3,6,1.1367305319254228e-08
esm2_frozen_bilstm_attn,train,1o75_A,415,1,414,0,14,13,27,1.346452838113521e-09
esm2_frozen_bilstm_attn,train,1oao_C,729,1,728,0,20,19,39,8.031861842283661e-10
esm2_frozen_bilstm_attn,train,1ocy_A,198,1,197,0,6,5,11,6.993727375004255e-09
esm2_frozen_bilstm_attn,train,1oh9_A,258,1,257,0,8,8,16,3.6127953961795356e-09
esm2_frozen_bilstm_attn,train,1ois_A,223,1,222,0,5,5,10,5.526879509609728e-09
esm2_frozen_bilstm_attn,train,1ojh_C,65,1,64,0,2,1,3,9.86763737387264e-09
esm2_frozen_bilstm_attn,train,1ojq_A,212,1,211,0,8,7,15,1.640431124272368e-09
esm2_frozen_bilstm_attn,train,1ok0_A,74,1,73,0,3,2,5,6.346570602389079e-09
esm2_frozen_bilstm_attn,train,1pch_A,88,1,87,0,3,3,6,4.5642778445653676e-09
esm2_frozen_bilstm_attn,train,1pp0_C,199,1,198,0,6,5,11,2.737226223459288e-09
esm2_frozen_bilstm_attn,train,1ptq_A,50,1,49,0,2,1,3,7.31927674024746e-09
esm2_frozen_bilstm_attn,train,1puc_A,105,1,104,0,4,3,7,3.774460299865723e-09
esm2_frozen_bilstm_attn,train,1pv5_A,264,1,263,0,8,7,15,2.5671393899528994e-09
esm2_frozen_bilstm_attn,train,1q2h_A,69,1,68,0,2,1,3,3.872822063044623e-09
esm2_frozen_bilstm_attn,train,1q8f_A,313,1,312,0,9,10,19,2.806580745584597e-09
esm2_frozen_bilstm_attn,train,1qb7_A,236,1,235,0,6,5,11,4.083588578396302e-09
esm2_frozen_bilstm_attn,train,1qcs_A,211,1,210,0,6,5,11,2.440196933406469e-09
esm2_frozen_bilstm_attn,train,1qgi_A,259,1,258,0,8,8,16,2.9213711449926905e-09
esm2_frozen_bilstm_attn,train,1qlm_A,316,1,315,0,9,10,19,1.2323072007269786e-09
esm2_frozen_bilstm_attn,train,1qw2_A,102,1,101,0,3,2,5,7.110308786195674e-09
esm2_frozen_bilstm_attn,train,1qwz_A,235,1,234,0,6,5,11,5.11138065206751e-09
esm2_frozen_bilstm_attn,train,1qxo_A,388,1,387,0,10,9,19,2.1635324642943488e-09
esm2_frozen_bilstm_attn,train,1r0k_A,388,1,387,0,9,10,19,1.2667262794252565e-09
esm2_frozen_bilstm_attn,train,1r5l_A,262,1,261,0,8,8,16,2.2689332634939774e-09
esm2_frozen_bilstm_attn,train,1r6w_A,322,1,321,0,9,8,17,3.808822590656291e-09
esm2_frozen_bilstm_attn,train,1r9f_A,136,1,135,0,4,3,7,3.397318426578977e-09
esm2_frozen_bilstm_attn,train,1rl6_A,177,1,176,0,6,4,10,3.6153954274809053e-09
esm2_frozen_bilstm_attn,train,1rlk_A,117,1,116,0,3,3,6,1.0812982509378344e-08
esm2_frozen_bilstm_attn,train,1rm6_B,324,1,323,0,10,10,20,2.428973466805928e-09
esm2_frozen_bilstm_attn,train,1rqj_A,299,1,298,0,8,8,16,3.30272365012263e-09
esm2_frozen_bilstm_attn,train,1rrm_A,386,1,385,0,10,9,19,1.510649161318156e-09
esm2_frozen_bilstm_attn,train,1rss_A,151,1,150,0,5,5,10,6.602355995255493e-09
esm2_frozen_bilstm_attn,train,1ru4_A,400,1,399,0,12,11,23,1.4235670420248425e-09
esm2_frozen_bilstm_attn,train,1ryl_A,167,1,166,0,3,4,7,2.6861490809437782e-09
esm2_frozen_bilstm_attn,train,1s9r_A,410,1,409,0,14,14,28,1.4423742200619927e-09
esm2_frozen_bilstm_attn,train,1sdi_A,213,1,212,0,4,5,9,2.1221749912925247e-09
esm2_frozen_bilstm_attn,train,1sf9_A,128,1,127,0,3,2,5,9.03255070738851e-09
esm2_frozen_bilstm_attn,train,1ssq_D,267,1,266,0,8,7,15,1.9823964692022855e-09
esm2_frozen_bilstm_attn,train,1svb_A,395,1,394,0,12,11,23,1.1152969658922984e-09
esm2_frozen_bilstm_attn,train,1sx3_A,525,1,524,0,13,13,26,1.980592689854177e-09
esm2_frozen_bilstm_attn,train,1t7v_A,278,1,277,0,9,8,17,3.5483260774071823e-09
esm2_frozen_bilstm_attn,train,1t8k_A,77,1,76,0,2,3,5,9.408307022340523e-09
esm2_frozen_bilstm_attn,train,1t95_A,240,1,239,0,9,8,17,2.3530333237431478e-09
esm2_frozen_bilstm_attn,train,1tag_A,324,1,323,0,7,7,14,2.8802156215590458e-09
esm2_frozen_bilstm_attn,train,1tdz_A,272,1,271,0,8,8,16,1.8246266719756932e-09
esm2_frozen_bilstm_attn,train,1tez_B,474,1,473,0,12,12,24,9.85214354543018e-10
esm2_frozen_bilstm_attn,train,1tg7_A,971,1,970,0,27,26,53,6.701780519424716e-10
esm2_frozen_bilstm_attn,train,1tgr_A,52,1,51,0,2,1,3,7.86857601298152e-09
esm2_frozen_bilstm_attn,train,1tov_A,98,1,97,0,3,3,6,6.14733997039707e-09
esm2_frozen_bilstm_attn,train,1tt8_A,164,1,163,0,6,5,11,1.500571777945936e-09
esm2_frozen_bilstm_attn,train,1tzw_A,142,1,141,0,3,3,6,6.363312543555821e-09
esm2_frozen_bilstm_attn,train,1u09_A,476,1,475,0,15,14,29,2.308395252725859e-09
esm2_frozen_bilstm_attn,train,1u55_A,188,1,187,0,5,5,10,2.9575379922874845e-09
esm2_frozen_bilstm_attn,train,1u6r_B,380,1,379,0,9,8,17,2.7212401221277105e-09
esm2_frozen_bilstm_attn,train,1u7k_D,131,1,130,0,3,3,6,3.073569487810346e-08
esm2_frozen_bilstm_attn,train,1u84_A,90,1,89,0,3,2,5,1.122205084413963e-08
esm2_frozen_bilstm_attn,train,1u8v_C,490,1,489,0,13,13,26,1.210953337604792e-09
esm2_frozen_bilstm_attn,train,1ugp_A,203,1,202,0,7,7,14,3.274884363690944e-09
esm2_frozen_bilstm_attn,train,1uoy_A,64,1,63,0,2,1,3,4.874157077949803e-09
esm2_frozen_bilstm_attn,train,1upt_D,60,1,59,0,2,1,3,6.071751323943886e-09
esm2_frozen_bilstm_attn,train,1uwk_B,557,1,556,0,16,15,31,8.148733909862926e-10
esm2_frozen_bilstm_attn,train,1ux6_A,350,1,349,0,11,9,20,2.5731446973153993e-09
esm2_frozen_bilstm_attn,train,1uxy_A,340,1,339,0,9,8,17,2.6636954864045492e-09
esm2_frozen_bilstm_attn,train,1uz3_A,102,1,101,0,3,2,5,1.4612055565521587e-08
esm2_frozen_bilstm_attn,train,1v0w_A,506,1,505,0,12,11,23,1.2968042195637963e-09
esm2_frozen_bilstm_attn,train,1v7z_F,260,1,259,0,5,5,10,5.319945817205962e-09
esm2_frozen_bilstm_attn,train,1v9m_A,323,1,322,0,8,7,15,2.769182216866284e-09
esm2_frozen_bilstm_attn,train,1vaj_A,214,1,213,0,6,5,11,3.0503852777030716e-09
esm2_frozen_bilstm_attn,train,1vbi_A,344,1,343,0,8,9,17,2.215041483566438e-09
esm2_frozen_bilstm_attn,train,1vbw_A,68,1,67,0,2,1,3,5.493213661722507e-09
esm2_frozen_bilstm_attn,train,1vcc_A,77,1,76,0,2,1,3,3.4766336476366178e-09
esm2_frozen_bilstm_attn,train,1vlb_A,907,1,906,0,21,21,42,1.7961998555193759e-09
esm2_frozen_bilstm_attn,train,1vyi_A,112,1,111,0,3,2,5,4.841480105710616e-09
esm2_frozen_bilstm_attn,train,1vzy_B,291,1,290,0,10,10,20,2.101608220783646e-09
esm2_frozen_bilstm_attn,train,1w2w_A,211,1,210,0,6,6,12,4.1748888790493766e-09
esm2_frozen_bilstm_attn,train,1w53_A,84,1,83,0,2,1,3,6.620260339929018e-09
esm2_frozen_bilstm_attn,train,1wbe_A,209,1,208,0,5,4,9,6.626247106567007e-09
esm2_frozen_bilstm_attn,train,1wd5_A,208,1,207,0,4,5,9,3.917147939347387e-09
esm2_frozen_bilstm_attn,train,1wf3_A,301,1,300,0,10,9,19,2.44667930360265e-09
esm2_frozen_bilstm_attn,train,1whi_A,122,1,121,0,5,4,9,4.792907182249451e-09
esm2_frozen_bilstm_attn,train,1whz_A,70,1,69,0,2,3,5,7.672398716351836e-09
esm2_frozen_bilstm_attn,train,1wna_A,131,1,130,0,4,4,8,7.896488796177437e-09
esm2_frozen_bilstm_attn,train,1wpb_A,172,1,171,0,5,5,10,4.635760220139673e-09
esm2_frozen_bilstm_attn,train,1wq6_A,72,1,71,0,2,1,3,4.233123185315435e-09
esm2_frozen_bilstm_attn,train,1wq8_A,110,1,109,0,3,2,5,6.510901151557391e-09
esm2_frozen_bilstm_attn,train,1wui_L,534,1,533,0,11,10,21,1.2411321970162703e-09
esm2_frozen_bilstm_attn,train,1wui_S,267,1,266,0,8,7,15,1.9564189157605938e-09
esm2_frozen_bilstm_attn,train,1xkg_A,312,1,311,0,11,11,22,2.0901742003864854e-09
esm2_frozen_bilstm_attn,train,1xkn_A,355,1,354,0,11,10,21,2.0042874027126345e-09
esm2_frozen_bilstm_attn,train,1xmk_A,79,1,78,0,3,2,5,2.5683121407382714e-08
esm2_frozen_bilstm_attn,train,1xo7_B,166,1,165,0,7,6,13,4.002220777010734e-09
esm2_frozen_bilstm_attn,train,1xty_B,120,1,119,0,4,4,8,4.812466869452692e-09
esm2_frozen_bilstm_attn,train,1xvg_E,170,1,169,0,4,6,10,2.1389858773090964e-09
esm2_frozen_bilstm_attn,train,1xwl_A,580,1,579,0,16,15,31,1.0600255118120572e-09
esm2_frozen_bilstm_attn,train,1y0n_A,78,1,77,0,1,1,2,6.918716266568481e-09
esm2_frozen_bilstm_attn,train,1y6i_A,233,1,232,0,7,6,13,3.196286790796421e-09
esm2_frozen_bilstm_attn,train,1y7t_B,327,1,326,0,9,8,17,1.5765451166771527e-09
esm2_frozen_bilstm_attn,train,1yoe_A,322,1,321,0,9,9,18,3.866478692771125e-09
esm2_frozen_bilstm_attn,train,1yoz_B,116,1,115,0,3,3,6,3.646238644350319e-09
esm2_frozen_bilstm_attn,train,1ypy_A,184,1,183,0,4,3,7,2.228215167932035e-09
esm2_frozen_bilstm_attn,train,1yqe_A,282,1,281,0,8,7,15,3.5441085621812363e-09
esm2_frozen_bilstm_attn,train,1z1l_A,345,1,344,0,10,10,20,1.8406660640124528e-09
esm2_frozen_bilstm_attn,train,1z21_A,112,1,111,0,3,3,6,4.206774484316611e-09
esm2_frozen_bilstm_attn,train,1z2u_A,150,1,149,0,3,3,6,2.818943301008403e-09
esm2_frozen_bilstm_attn,train,1zdy_A,307,1,306,0,10,10,20,1.7047790956681297e-09
esm2_frozen_bilstm_attn,train,1zn6_A,227,1,226,0,7,6,13,3.1411477863230175e-09
esm2_frozen_bilstm_attn,train,1zos_C,230,1,229,0,5,5,10,2.9970003145862734e-09
esm2_frozen_bilstm_attn,train,1zpe_A,314,1,313,0,8,7,15,3.651665414494687e-09
esm2_frozen_bilstm_attn,train,1zt5_A,80,1,79,0,3,3,6,4.436699008181222e-09
esm2_frozen_bilstm_attn,train,1zxx_A,319,1,318,0,9,8,17,1.4140510984361754e-09
esm2_frozen_bilstm_attn,train,2abk_A,211,1,210,0,5,5,10,5.9975553412527915e-09
esm2_frozen_bilstm_attn,train,2ad6_A,571,1,570,0,14,13,27,1.769907109760993e-09
esm2_frozen_bilstm_attn,train,2ad6_D,69,1,68,0,2,1,3,9.288680047347952e-09
esm2_frozen_bilstm_attn,train,2ahn_A,222,1,221,0,7,6,13,4.976191014804954e-09
esm2_frozen_bilstm_attn,train,2aib_A,98,1,97,0,2,1,3,3.0517743887514825e-09
esm2_frozen_bilstm_attn,train,2aj7_A,163,1,162,0,6,5,11,1.2846077979133952e-08
esm2_frozen_bilstm_attn,train,2at8_X,184,1,183,0,6,6,12,5.01959362964044e-09
esm2_frozen_bilstm_attn,train,2au3_A,407,1,406,0,15,15,30,3.056715214277972e-09
esm2_frozen_bilstm_attn,train,2au7_A,175,1,174,0,4,4,8,4.6818002807924586e-09
esm2_frozen_bilstm_attn,train,2b0a_A,186,1,185,0,4,4,8,2.819769306938724e-09
esm2_frozen_bilstm_attn,train,2b3y_A,888,1,887,0,23,23,46,8.643890048176672e-10
esm2_frozen_bilstm_attn,train,2b7r_A,571,1,570,0,16,16,32,1.1731579041551754e-09
esm2_frozen_bilstm_attn,train,2b97_A,71,1,70,0,3,2,5,1.1677743216864656e-08
esm2_frozen_bilstm_attn,train,2b9d_A,52,1,51,0,3,2,5,1.3812658128387056e-08
esm2_frozen_bilstm_attn,train,2bf6_A,449,1,448,0,13,12,25,2.1234534131053806e-09
esm2_frozen_bilstm_attn,train,2bjq_A,345,1,344,0,12,11,23,2.198582649270975e-09
esm2_frozen_bilstm_attn,train,2bk9_A,153,1,152,0,3,4,7,6.236688943062063e-09
esm2_frozen_bilstm_attn,train,2bko_A,205,1,204,0,4,4,8,6.150054687736883e-09
esm2_frozen_bilstm_attn,train,2bo1_A,101,1,100,0,3,3,6,3.133116877052089e-09
esm2_frozen_bilstm_attn,train,2bti_A,63,1,62,0,3,2,5,9.720205085272937e-09
esm2_frozen_bilstm_attn,train,2bw3_B,84,1,83,0,3,2,5,6.80116407636433e-09
esm2_frozen_bilstm_attn,train,2cb5_A,453,1,452,0,12,11,23,2.8853199829370624e-09
esm2_frozen_bilstm_attn,train,2cfe_A,162,1,161,0,7,6,13,9.226155839314742e-09
esm2_frozen_bilstm_attn,train,2cg7_A,90,1,89,0,4,3,7,1.6987113937716458e-08
esm2_frozen_bilstm_attn,train,2cwy_A,94,1,93,0,3,3,6,6.765189741742006e-09
esm2_frozen_bilstm_attn,train,2cxi_B,348,1,347,0,7,7,14,2.4303616896759195e-09
esm2_frozen_bilstm_attn,train,2d28_C,149,1,148,0,5,5,10,5.451033846526343e-09
esm2_frozen_bilstm_attn,train,2d5b_A,500,1,499,0,11,11,22,1.6679082559534208e-09
esm2_frozen_bilstm_attn,train,2db7_A,64,1,63,0,1,1,2,6.351056569542379e-09
esm2_frozen_bilstm_attn,train,2dlb_A,80,1,79,0,2,1,3,6.7679692961064575e-09
esm2_frozen_bilstm_attn,train,2dt4_A,143,1,142,0,4,3,7,3.3020932654892476e-09
esm2_frozen_bilstm_attn,train,2dt8_A,280,1,279,0,7,7,14,3.522479641304699e-09
esm2_frozen_bilstm_attn,train,2dtr_A,226,1,225,0,6,5,11,4.002662645774535e-09
esm2_frozen_bilstm_attn,train,2dwk_A,180,1,179,0,6,5,11,4.592040969697564e-09
esm2_frozen_bilstm_attn,train,2e6x_A,69,1,68,0,2,2,4,3.926956537725346e-09
esm2_frozen_bilstm_attn,train,2e7z_A,727,1,726,0,21,20,41,7.250786637769124e-10
esm2_frozen_bilstm_attn,train,2e8e_A,132,1,131,0,3,3,6,3.563476624890427e-09
esm2_frozen_bilstm_attn,train,2ebb_A,101,1,100,0,3,2,5,7.800760926102157e-09
esm2_frozen_bilstm_attn,train,2ed6_A,170,1,169,0,4,3,7,9.44823996817945e-10
esm2_frozen_bilstm_attn,train,2end_A,138,1,137,0,3,2,5,4.151679000585773e-09
esm2_frozen_bilstm_attn,train,2erl_A,40,1,39,0,1,0,1,7.94049270780306e-09
esm2_frozen_bilstm_attn,train,2es9_A,115,1,114,0,3,2,5,2.9092657172213876e-09
esm2_frozen_bilstm_attn,train,2f5t_X,233,1,232,0,9,8,17,2.5508999357271023e-09
esm2_frozen_bilstm_attn,train,2f60_K,64,1,63,0,1,1,2,6.147274689283222e-09
esm2_frozen_bilstm_attn,train,2f6e_A,127,1,126,0,5,4,9,2.186629655120953e-09
esm2_frozen_bilstm_attn,train,2fb5_A,205,1,204,0,6,5,11,5.347032927538464e-09
esm2_frozen_bilstm_attn,train,2fef_B,294,1,293,0,7,7,14,1.6299730454250039e-09
esm2_frozen_bilstm_attn,train,2fhz_A,109,1,108,0,3,3,6,7.343267105497375e-09
esm2_frozen_bilstm_attn,train,2fip_A,115,1,114,0,3,2,5,2.7628781484878573e-09
esm2_frozen_bilstm_attn,train,2fj8_A,125,1,124,0,7,5,12,7.124790535328884e-09
esm2_frozen_bilstm_attn,train,2fma_A,59,1,58,0,1,0,1,1.1396938504049103e-08
esm2_frozen_bilstm_attn,train,2fp1_A,166,1,165,0,4,4,8,2.350221572910982e-09
esm2_frozen_bilstm_attn,train,2ftx_A,90,1,89,0,4,4,8,7.769784815536696e-09
esm2_frozen_bilstm_attn,train,2fyg_A,128,1,127,0,6,5,11,2.847302837949428e-09
esm2_frozen_bilstm_attn,train,2fzp_A,144,1,143,0,3,2,5,9.696956126958867e-09
esm2_frozen_bilstm_attn,train,2g64_A,140,1,139,0,5,4,9,6.60716503730896e-09
esm2_frozen_bilstm_attn,train,2g7o_A,70,1,69,0,3,2,5,7.096117471405705e-09
esm2_frozen_bilstm_attn,train,2gc4_B,131,1,130,0,5,4,9,8.019293229466484e-09
