union_group_id,n_sequences,n_residues,class_0,class_1,class_2,class_3,split
union_0214,1,80,10,41,22,7,train
union_0215,1,143,46,80,16,1,train
union_0216,1,180,94,55,25,6,train
union_0217,1,69,24,42,3,0,train
union_0218,4,1814,810,820,172,12,validation
union_0219,2,272,100,139,30,3,train
union_0220,1,101,52,40,7,2,train
union_0221,1,170,41,104,24,1,train
union_0222,2,1011,468,433,101,9,test
union_0223,1,138,72,55,11,0,train
union_0224,2,450,178,210,58,4,validation
union_0225,1,40,17,20,3,0,train
union_0226,1,115,71,32,12,0,train
union_0227,1,64,29,21,13,1,train
union_0228,2,438,102,285,48,3,train
union_0229,1,205,95,85,25,0,train
union_0230,2,247,106,121,17,3,test
union_0231,1,109,49,50,10,0,train
union_0232,1,115,48,63,4,0,train
union_0233,1,125,12,97,16,0,train
union_0234,1,59,28,26,5,0,train
union_0235,2,256,155,71,25,5,train
union_0236,1,90,37,39,13,1,train
union_0237,1,128,27,74,20,7,train
union_0238,1,144,50,68,16,10,train
union_0239,2,480,187,254,36,3,train
union_0240,1,70,25,25,17,3,train
union_0241,1,131,19,69,40,3,train
union_0242,2,277,63,160,45,9,validation
union_0243,1,263,111,133,19,0,train
union_0244,1,103,16,47,37,3,train
union_0245,2,555,195,303,51,6,train
union_0246,1,167,82,74,8,3,train
union_0247,1,91,45,41,3,2,train
union_0248,1,198,42,123,29,4,train
union_0249,2,425,134,236,53,2,test
union_0250,2,126,51,59,14,2,train
union_0251,2,695,277,318,91,9,validation
union_0252,1,127,59,65,3,0,train
union_0253,1,81,6,61,14,0,train
union_0254,1,161,58,81,22,0,test
union_0255,1,223,84,117,21,1,train
union_0256,2,626,357,207,56,6,test
union_0257,1,83,59,20,4,0,train
union_0258,1,251,83,145,18,5,train
union_0259,1,87,29,51,7,0,train
union_0260,1,178,85,72,15,6,train
union_0261,1,114,46,55,13,0,train
union_0262,3,374,187,140,44,3,test
union_0263,1,200,96,86,17,1,train
union_0264,1,303,153,123,24,3,train
union_0265,2,282,79,150,51,2,train
union_0266,1,109,51,49,9,0,train
union_0267,1,145,71,56,18,0,train
union_0268,1,234,85,123,25,1,train
union_0269,2,274,161,80,32,1,train
union_0270,1,104,45,39,17,3,validation
union_0271,1,205,102,76,26,1,train
union_0272,1,170,119,34,16,1,train
union_0273,1,114,42,58,14,0,train
union_0274,1,100,60,31,9,0,train
union_0275,1,174,100,60,12,2,train
union_0276,1,155,86,48,21,0,train
union_0277,1,247,124,98,22,3,train
union_0278,1,201,110,64,27,0,validation
union_0279,2,300,49,171,60,20,validation
union_0280,1,64,44,13,5,2,train
union_0281,2,220,130,66,19,5,validation
union_0282,1,98,54,29,10,5,train
union_0283,4,1429,572,653,181,23,test
union_0284,1,176,79,82,11,4,train
union_0285,1,288,94,169,24,1,train
union_0286,1,207,70,110,22,5,train
union_0287,1,65,49,11,5,0,train
union_0288,1,114,53,45,14,2,train
union_0289,1,99,59,35,5,0,train
union_0290,2,288,123,139,26,0,test
union_0291,1,228,75,126,26,1,train
union_0292,1,191,103,74,13,1,train
union_0293,2,620,288,261,59,12,validation
union_0294,2,658,277,316,57,8,train
union_0295,1,245,104,120,19,2,train
union_0296,1,110,52,48,10,0,train
union_0297,1,145,82,45,17,1,train
union_0298,1,65,10,35,18,2,train
union_0299,1,114,66,37,11,0,train
union_0300,1,180,54,118,8,0,train
union_0301,1,200,119,59,20,2,train
union_0302,1,125,59,46,18,2,train
union_0303,2,335,206,109,19,1,train
union_0304,1,511,201,257,48,5,train
union_0305,3,356,228,103,23,2,validation
union_0306,1,95,26,60,9,0,train
union_0307,2,530,158,294,76,2,train
union_0308,1,239,128,93,18,0,train
union_0309,2,381,165,171,37,8,train
union_0310,2,664,277,310,72,5,test
union_0311,1,254,85,123,41,5,train
union_0312,2,496,216,221,56,3,test
union_0313,1,205,83,112,9,1,train
union_0314,2,424,179,195,41,9,test
union_0315,1,284,126,119,34,5,train
union_0316,1,113,56,42,14,1,train
union_0317,2,225,103,97,19,6,test
union_0318,1,106,22,53,27,4,train
union_0319,1,151,34,90,24,3,train
union_0320,4,1415,564,689,148,14,test
union_0321,4,820,316,414,78,12,validation
union_0322,1,129,87,32,9,1,train
union_0323,1,147,45,73,28,1,train
union_0324,1,145,66,58,21,0,train
union_0325,1,140,90,41,9,0,train
union_0326,1,130,42,71,11,6,train
union_0327,2,302,141,130,26,5,test
union_0328,1,217,78,122,17,0,train
union_0329,2,297,221,41,19,16,test
union_0330,1,51,18,18,13,2,train
union_0331,2,873,388,418,64,3,validation
union_0332,1,146,46,70,28,2,train
union_0333,2,193,79,82,28,4,validation
union_0334,1,127,43,59,25,0,train
union_0335,2,492,195,234,58,5,test
union_0336,7,2578,1136,1208,219,15,test
union_0337,1,51,29,16,3,3,train
union_0338,3,1125,365,633,122,5,test
union_0339,2,568,196,303,66,3,train
union_0340,1,100,58,24,18,0,train
union_0341,1,170,102,52,15,1,train
union_0342,2,196,24,121,37,14,validation
union_0343,2,163,77,65,16,5,train
union_0344,1,118,86,17,13,2,train
union_0345,1,184,143,34,7,0,test
union_0346,1,93,19,50,20,4,train
union_0347,1,436,178,215,41,2,train
union_0348,1,145,81,45,14,5,train
union_0349,1,143,65,57,11,10,train
union_0350,1,67,28,27,11,1,train
union_0351,1,237,101,112,24,0,train
union_0352,1,50,10,31,8,1,train
union_0353,1,169,86,67,15,1,validation
union_0354,4,475,194,232,44,5,test
union_0355,2,651,246,309,81,15,train
union_0356,1,157,56,65,34,2,train
union_0357,2,280,146,99,31,4,validation
union_0358,1,80,46,18,15,1,train
union_0359,1,40,12,21,5,2,train
union_0360,2,978,454,434,83,7,validation
union_0361,1,83,18,55,10,0,train
union_0362,1,244,100,106,32,6,train
union_0363,1,114,34,72,8,0,train
union_0364,1,94,55,30,9,0,train
union_0365,2,369,130,181,55,3,validation
union_0366,1,94,58,27,4,5,train
union_0367,1,112,43,54,9,6,train
union_0368,2,376,173,174,29,0,train
union_0369,1,80,43,23,11,3,train
union_0370,1,360,152,156,51,1,train
union_0371,1,125,26,72,25,2,train
union_0372,1,83,41,35,7,0,train
union_0373,1,431,191,207,32,1,train
union_0374,1,91,33,40,14,4,train
union_0375,1,255,77,141,34,3,train
union_0376,1,123,59,49,14,1,train
union_0377,1,72,44,25,3,0,train
union_0378,2,210,58,120,29,3,validation
union_0379,2,248,81,144,23,0,validation
union_0380,2,631,226,320,77,8,train
union_0381,1,138,64,60,11,3,train
union_0382,1,473,211,208,47,7,train
union_0383,1,71,25,19,21,6,validation
union_0384,1,74,19,44,7,4,train
union_0385,2,376,204,121,34,17,test
union_0386,1,109,60,35,14,0,train
union_0387,6,1632,571,864,181,16,test
union_0388,1,120,58,52,10,0,train
union_0389,1,116,19,67,23,7,train
union_0390,1,366,83,214,60,9,train
union_0391,1,168,61,87,14,6,train
union_0392,2,329,223,91,14,1,validation
union_0393,1,82,64,18,0,0,train
union_0394,1,164,92,39,31,2,train
union_0395,2,258,120,108,25,5,validation
union_0396,2,252,100,110,37,5,validation
union_0397,1,106,59,40,7,0,train
union_0398,1,119,51,53,14,1,train
union_0399,1,100,28,47,15,10,test
union_0400,2,341,246,68,23,4,validation
union_0401,1,104,61,34,7,2,train
union_0402,3,345,175,140,29,1,test
union_0403,2,321,132,148,41,0,train
union_0404,2,427,147,234,46,0,test
union_0405,1,170,74,80,15,1,train
union_0406,1,188,85,77,24,2,train
union_0407,2,510,210,217,66,17,train
union_0408,2,387,105,220,58,4,train
union_0409,1,357,188,129,34,6,train
union_0410,1,85,51,26,6,2,train
union_0411,1,101,34,54,8,5,train
union_0412,4,1080,326,644,104,6,validation
union_0413,1,348,119,189,36,4,train
union_0414,1,101,30,40,27,4,test
union_0415,1,78,21,42,14,1,train
union_0416,1,157,77,67,12,1,train
union_0417,1,151,69,63,18,1,train
union_0418,2,539,207,273,58,1,train
union_0419,1,50,21,25,4,0,train
union_0420,1,71,15,47,6,3,train
union_0421,1,205,72,100,32,1,train
union_0422,2,219,59,82,58,20,validation
union_0423,1,153,47,78,26,2,test
union_0424,2,337,116,191,27,3,train
union_0425,1,197,122,60,15,0,train
union_0426,1,183,63,96,22,2,train
union_0427,1,65,25,20,15,5,train
union_0428,1,145,76,48,18,3,train
union_0429,3,935,455,392,78,10,validation
union_0430,1,52,4,28,18,2,train
union_0431,1,119,45,55,13,6,train
union_0432,1,45,28,14,3,0,train
union_0433,1,166,66,74,19,7,train
union_0434,1,88,24,38,21,5,train
union_0435,1,340,129,184,27,0,train
union_0436,1,134,42,61,22,9,train
union_0437,1,199,86,98,15,0,train
union_0438,2,493,229,202,60,2,train
union_0439,1,107,27,72,8,0,train
union_0440,1,357,104,191,61,1,train
union_0441,1,270,162,90,17,1,train
union_0442,1,140,42,79,15,4,train
union_0443,1,58,4,35,19,0,train
union_0444,1,96,54,26,15,1,validation
union_0445,1,56,11,27,18,0,train
union_0446,2,368,131,181,48,8,test
union_0447,1,145,53,75,13,4,train
union_0448,1,90,22,60,8,0,train
union_0449,1,165,79,68,18,0,validation
union_0450,2,157,23,77,47,10,validation
union_0451,1,200,123,63,14,0,train
union_0452,1,81,28,45,6,2,train
union_0453,2,411,108,249,47,7,train
union_0454,1,95,39,40,12,4,train
union_0455,1,107,50,35,20,2,train
union_0456,1,145,74,57,13,1,train
union_0457,1,163,41,101,20,1,train
union_0458,1,157,73,61,22,1,test
union_0459,2,305,130,139,33,3,test
union_0460,1,361,201,119,38,3,test
union_0461,1,118,41,59,18,0,validation
union_0462,1,85,30,49,6,0,train
union_0463,1,62,24,15,18,5,train
union_0464,1,124,53,52,18,1,train
union_0465,1,471,220,204,45,2,train
union_0466,1,153,99,44,10,0,train
union_0467,1,360,150,179,30,1,train
union_0468,1,179,36,75,56,12,train
union_0469,1,115,63,40,12,0,train
union_0470,1,89,44,37,7,1,train
union_0471,1,261,158,71,30,2,test
union_0472,1,192,64,101,22,5,train
union_0473,1,116,45,45,19,7,train
union_0474,1,278,145,109,20,4,train
union_0475,2,706,217,343,125,21,train
union_0476,1,344,198,125,19,2,validation
union_0477,1,61,41,20,0,0,train
union_0478,1,81,52,25,4,0,train
union_0479,2,582,232,270,63,17,train
union_0480,1,119,74,36,9,0,train
union_0481,1,121,60,40,20,1,validation
union_0482,2,179,21,110,37,11,test
union_0483,1,38,4,25,8,1,train
union_0484,1,94,56,11,24,3,train
union_0485,1,76,32,32,7,5,train
union_0486,1,110,50,43,13,4,train
union_0487,1,129,51,61,12,5,train
union_0488,1,133,35,62,30,6,train
union_0489,1,85,36,31,17,1,train
union_0490,1,252,133,90,28,1,train
union_0491,1,94,42,31,15,6,train
union_0492,1,41,16,17,4,4,train
union_0493,1,164,76,61,23,4,train
union_0494,2,280,109,142,27,2,validation
union_0495,1,171,97,62,8,4,train
union_0496,1,100,42,40,13,5,train
union_0497,1,93,39,40,13,1,train
union_0498,1,72,38,26,8,0,train
union_0499,1,148,35,92,18,3,train
union_0500,1,56,17,29,8,2,train
union_0501,2,132,71,48,12,1,train
union_0502,1,95,26,63,6,0,train
union_0503,1,93,64,28,1,0,train
union_0504,1,198,78,105,15,0,train
union_0505,1,57,47,8,2,0,train
union_0506,1,214,126,67,21,0,train
union_0507,1,102,54,23,19,6,validation
union_0508,1,236,89,109,28,10,train
union_0509,1,194,75,103,15,1,train
union_0510,2,432,281,123,28,0,test
union_0511,3,400,105,232,57,6,validation
union_0512,1,243,126,97,20,0,train
union_0513,1,133,52,63,17,1,train
union_0514,1,210,97,89,23,1,train
union_0515,1,197,43,115,33,6,train
union_0516,2,425,210,172,32,11,validation
union_0517,1,61,19,21,15,6,train
union_0518,1,101,42,52,7,0,train
union_0519,1,70,17,41,11,1,train
union_0520,1,207,115,72,16,4,train
union_0521,1,102,44,46,8,4,train
union_0522,1,128,55,53,18,2,train
union_0523,1,72,18,37,10,7,train
union_0524,1,69,15,29,22,3,train
union_0525,1,221,63,135,17,6,train
union_0526,1,216,124,72,20,0,train
union_0527,1,112,51,54,7,0,train
union_0528,1,198,82,100,16,0,train
union_0529,1,81,18,28,34,1,test
union_0530,1,110,49,48,13,0,train
union_0531,1,67,20,40,3,4,train
union_0532,1,212,109,51,48,4,validation
union_0533,1,190,106,58,26,0,train
union_0534,1,114,28,67,17,2,train
union_0535,1,78,31,38,9,0,train
union_0536,1,46,17,20,9,0,train
union_0537,1,112,56,45,8,3,train
union_0538,1,40,19,15,5,1,train
union_0539,1,89,57,18,8,6,train
union_0540,1,54,24,26,4,0,train
union_0541,1,196,168,22,6,0,train
union_0542,1,395,118,230,44,3,train
union_0543,1,78,4,28,32,14,train
union_0544,3,1023,438,499,81,5,validation
union_0545,1,230,83,115,30,2,train
union_0546,1,85,41,32,8,4,train
union_0547,1,76,32,32,9,3,train
union_0548,1,174,74,89,11,0,train
union_0549,1,320,144,133,40,3,train
union_0550,1,106,24,58,13,11,validation
union_0551,1,121,73,34,12,2,train
union_0552,1,185,47,113,19,6,train
union_0553,1,281,113,142,26,0,train
union_0554,1,119,40,48,26,5,test
union_0555,1,239,104,108,22,5,train
union_0556,1,277,126,128,23,0,train
union_0557,1,98,55,28,13,2,train
union_0558,1,134,43,79,12,0,train
union_0559,1,146,67,56,19,4,train
union_0560,1,103,54,36,13,0,train
union_0561,1,193,101,82,10,0,train
union_0562,1,155,73,71,11,0,train
union_0563,1,214,51,122,37,4,train
union_0564,1,68,26,22,16,4,train
union_0565,2,375,148,181,40,6,test
union_0566,1,73,33,29,11,0,train
union_0567,1,98,47,26,21,4,train
union_0568,2,451,187,200,60,4,train
union_0569,1,121,48,35,26,12,train
union_0570,1,90,39,37,10,4,train
union_0571,1,38,7,8,15,8,train
union_0572,1,86,28,41,16,1,test
union_0573,1,256,87,143,25,1,train
union_0574,1,102,39,45,14,4,train
union_0575,1,122,57,41,13,11,train
union_0576,1,150,68,63,13,6,train
union_0577,2,475,179,239,51,6,train
union_0578,1,60,19,31,6,4,train
union_0579,1,111,57,41,13,0,train
union_0580,1,96,58,29,4,5,train
union_0581,1,81,32,28,18,3,test
union_0582,1,275,121,91,53,10,train
union_0583,1,98,60,22,15,1,validation
union_0584,1,317,137,146,33,1,train
union_0585,1,209,100,84,22,3,train
union_0586,1,134,52,67,15,0,train
union_0587,1,133,84,35,13,1,train
union_0588,1,71,39,18,14,0,test
union_0589,1,77,31,37,8,1,train
union_0590,2,424,208,183,25,8,train
union_0591,1,69,40,22,5,2,train
union_0592,1,459,233,174,47,5,train
union_0593,1,134,56,60,15,3,train
union_0594,1,74,19,27,21,7,train
union_0595,1,123,47,61,15,0,train
union_0596,2,242,121,76,38,7,test
union_0597,1,139,52,73,12,2,train
union_0598,1,85,22,36,26,1,train
union_0599,1,105,16,55,30,4,train
union_0600,1,132,49,76,7,0,train
union_0601,1,140,76,44,18,2,train
union_0602,1,104,53,36,11,4,validation
union_0603,1,63,24,21,17,1,train
union_0604,2,312,89,160,55,8,validation
union_0605,1,146,93,29,20,4,train
union_0606,1,47,4,3,26,14,train
union_0607,1,89,10,69,6,4,train
union_0608,1,164,61,84,12,7,train
union_0609,1,168,58,95,11,4,train
union_0610,1,74,30,21,15,8,train
union_0611,1,435,178,201,56,0,train
union_0612,1,100,64,29,7,0,train
union_0613,1,262,115,118,27,2,validation
union_0614,1,109,32,60,14,3,train
union_0615,1,64,30,29,4,1,train
union_0616,1,220,81,111,28,0,train
union_0617,1,227,103,92,25,7,train
union_0618,1,134,72,53,8,1,train
union_0619,1,81,62,12,4,3,train
union_0620,1,75,39,20,13,3,train
union_0621,1,55,27,13,15,0,test
union_0622,1,231,80,115,26,10,train
union_0623,2,340,170,130,32,8,test
union_0624,1,371,101,227,42,1,train
union_0625,1,69,41,21,7,0,train
union_0626,1,155,90,50,15,0,train
union_0627,1,113,58,44,9,2,train
union_0628,1,417,180,171,56,10,train
union_0629,1,450,197,223,30,0,train
union_0630,1,103,71,30,2,0,train
union_0631,1,283,139,102,35,7,train
union_0632,2,1166,657,405,101,3,validation
union_0633,1,155,74,66,12,3,train
union_0634,1,102,80,15,5,2,train
union_0635,2,245,141,77,23,4,train
union_0636,1,216,116,84,16,0,train
union_0637,1,307,200,84,20,3,train
union_0638,1,40,16,19,5,0,train
union_0639,1,103,27,21,43,12,train
union_0640,1,136,62,49,22,3,train
union_0641,1,148,75,41,29,3,validation
union_0642,1,111,55,50,6,0,train
union_0643,1,208,113,79,15,1,train
union_0644,2,236,79,119,31,7,train
union_0645,1,109,62,36,10,1,train
union_0646,1,76,36,32,7,1,train
union_0647,1,137,65,49,21,2,train
union_0648,1,102,45,35,22,0,train
union_0649,1,162,86,54,19,3,train
union_0650,1,162,56,86,20,0,train
union_0651,1,172,86,62,20,4,train
union_0652,1,146,51,70,25,0,train
union_0653,1,106,59,31,12,4,test
union_0654,1,124,70,50,4,0,train
union_0655,1,79,21,43,15,0,train
union_0656,1,121,44,52,22,3,train
union_0657,1,68,36,13,14,5,train
union_0658,1,122,59,52,10,1,train
union_0659,1,68,29,29,5,5,train
union_0660,1,71,20,22,22,7,train
union_0661,1,96,32,48,15,1,train
union_0662,1,155,70,73,11,1,train
union_0663,1,120,55,56,9,0,train
union_0664,1,75,59,16,0,0,train
union_0665,1,190,79,88,23,0,train
union_0666,1,61,14,31,14,2,train
union_0667,1,169,114,48,5,2,train
union_0668,1,81,10,38,29,4,train
union_0669,1,93,29,49,12,3,train
union_0670,1,88,62,19,6,1,train
union_0671,1,303,185,87,29,2,train
union_0672,1,81,35,34,12,0,train
union_0673,1,129,51,68,10,0,test
union_0674,1,122,46,61,14,1,train
union_0675,1,76,36,25,10,5,train
union_0676,1,68,46,18,4,0,train
union_0677,1,145,64,59,20,2,train
union_0678,1,135,34,82,18,1,train
union_0679,1,74,49,21,3,1,train
union_0680,1,51,30,15,3,3,train
union_0681,1,76,22,33,15,6,train
union_0682,1,105,45,45,10,5,train
union_0683,1,70,44,19,6,1,train
union_0684,1,104,67,35,2,0,train
union_0685,1,58,27,23,6,2,train
union_0686,1,184,111,55,17,1,train
union_0687,1,110,37,55,18,0,train
union_0688,1,117,40,70,7,0,train
union_0689,1,86,36,41,9,0,train
union_0690,1,364,141,140,68,15,train
union_0691,1,92,32,46,10,4,train
union_0692,1,377,111,209,52,5,train
union_0693,1,135,43,79,13,0,train
union_0694,1,47,21,19,6,1,train
union_0695,1,131,86,36,6,3,train
union_0696,1,101,48,44,8,1,train
union_0697,1,365,243,99,23,0,train
union_0698,1,448,181,229,37,1,train
union_0699,1,282,130,109,36,7,train
union_0700,1,228,137,52,27,12,train
