name,ecod_domain_id,ecod_f_id,ecod_x_id,ecod_x_name,pdb_range
1d2t_A,e1d2tA1,180.1.1.1,ECOD_X_180,NO_X_NAME,A:7-230
1d3y_B,e1d3yB1,4027.1.1.1,ECOD_X_4027,NO_X_NAME,B:142-188
1d3y_B,e1d3yB2,101.21.1.1,ECOD_X_101,HTH,B:72-141
1d3y_B,e1d3yB3,2006.1.3.9,ECOD_X_2006,HAD domain-like,B:189-368
1d4t_A,e1d4tA1,214.1.1.26,ECOD_X_214,NO_X_NAME,A:1-104
1dci_C,e1dciC1,2486.1.1.21,ECOD_X_2486,NO_X_NAME,C:53-327
1dd3_B,e1dd3B2,308.1.1.2,ECOD_X_308,ClpS-like,B:58-128
1dd3_B,e1dd3B3,156.1.1.1,ECOD_X_156,NO_X_NAME,B:1-57
1dfu_P,e1dfuP1,239.1.1.14,ECOD_X_239,Ribosomal protein L25-like,P:1-94
1dj0_B,e1dj0B1,304.102.1.2,ECOD_X_304,Alpha-beta plaits,B:7-270
1dk8_A,e1dk8A1,196.1.1.1,ECOD_X_196,NO_X_NAME,A:111-257
1dlj_A,e1dljA1,129.1.1.15,ECOD_X_129,NO_X_NAME,A:197-294
1dlj_A,e1dljA2,2003.1.1.50,ECOD_X_2003,Rossmann-like,A:1-196
1dlj_A,e1dljA3,2003.1.12.23,ECOD_X_2003,Rossmann-like,A:295-402
1doi_A,e1doiA1,221.1.1.12,ECOD_X_221,beta-Grasp,A:1-128
1dow_A,e1dowA1,601.1.1.21,ECOD_X_601,Four-helical up-and-down bundle,A:57-261
1dpt_A,e1dptA1,315.1.1.3,ECOD_X_315,Tautomerase/MIF-like,A:1-117
1dtd_B,e1dtdB1,905.1.1.1,ECOD_X_905,NO_X_NAME,B:6-66
1dvo_A,e1dvoA1,505.1.1.2,ECOD_X_505,NO_X_NAME,A:33-184
1dwk_A,e1dwkA1,101.1.4.23,ECOD_X_101,HTH,A:1-86
1dwk_A,e1dwkA2,812.2.1.1,ECOD_X_812,MinE-like,A:87-156
1dzf_A,e1dzfA1,840.1.1.1,ECOD_X_840,NO_X_NAME,A:144-215
1dzf_A,e1dzfA2,2008.3.1.1,ECOD_X_2008,Restriction endonuclease-like,A:5-143
1ear_A,e1earA1,55.1.1.1,ECOD_X_55,NO_X_NAME,A:1-74
1ear_A,e1earA2,304.22.1.1,ECOD_X_304,Alpha-beta plaits,A:75-142
1ef1_D,e1ef1D1,583.1.1.1,ECOD_X_583,NO_X_NAME,D:488-577
1egw_B,e1egwB1,263.1.1.1,ECOD_X_263,NO_X_NAME,B:2-72
1esw_A,e1eswA1,2002.1.1.100,ECOD_X_2002,TIM beta/alpha-barrel,A:1-500
1ewf_A,e1ewfA1,883.1.1.4,ECOD_X_883,NO_X_NAME,A:1-217
1ewf_A,e1ewfA2,883.1.1.5,ECOD_X_883,NO_X_NAME,A:218-456
1ez3_B,e1ez3B1,603.1.1.26,ECOD_X_603,STAT-like,B:27-149
1f20_A,e1f20A2,7514.1.1.1,ECOD_X_7514,NO_X_NAME,A:1233-1397
1f20_A,e1f20A3,1.1.7.64,ECOD_X_1,cradle loop barrel,"A:963-1038,A:1170-1232"
1f20_A,e1f20A4,3687.1.1.1,ECOD_X_3687,NO_X_NAME,A:1039-1169
1f3u_G,e1f3uG1,59.1.1.13,ECOD_X_59,NO_X_NAME,G:2-119
1f5n_A,e1f5nA1,621.1.1.2,ECOD_X_621,NO_X_NAME,A:284-583
1f5n_A,e1f5nA2,2004.1.1.98,ECOD_X_2004,P-loop domains-like,A:7-283
1f9p_A,e1f9pA1,1170.1.1.1,ECOD_X_1170,NO_X_NAME,A:6-86
1fcz_A,e1fczA1,188.1.1.1,ECOD_X_188,NO_X_NAME,A:183-417
1fd3_A,e1fd3A1,383.1.1.4,ECOD_X_383,Defensin-like,A:1-41
1feh_A,e1fehA1,581.1.1.1,ECOD_X_581,NO_X_NAME,A:512-573
1feh_A,e1fehA2,5100.1.1.2,ECOD_X_5100,NO_X_NAME,A:74-125
1feh_A,e1fehA3,205.1.1.15,ECOD_X_205,NO_X_NAME,A:127-209
1feh_A,e1fehA4,221.1.1.15,ECOD_X_221,beta-Grasp,A:1-73
1feh_A,e1fehA5,7556.1.1.1,ECOD_X_7556,NO_X_NAME,A:210-511
1fk5_A,e1fk5A1,185.1.1.3,ECOD_X_185,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin-like,A:1-93
1fm4_A,e1fm4A1,331.3.1.15,ECOD_X_331,TBP-like,A:1-159
1fn9_A,e1fn9A1,856.1.1.1,ECOD_X_856,NO_X_NAME,A:1-365
1fs1_A,e1fs1A1,145.1.1.3,ECOD_X_145,NO_X_NAME,A:109-149
1fx4_A,e1fx4A1,304.48.1.10,ECOD_X_304,Alpha-beta plaits,A:876-1106
1fxo_G,e1fxoG1,7516.1.1.14,ECOD_X_7516,NO_X_NAME,G:2-293
1g2r_A,e1g2rA1,377.4.1.1,ECOD_X_377,Glucocorticoid receptor-like,A:4-97
1g38_A,e1g38A1,4333.1.1.2,ECOD_X_4333,NO_X_NAME,A:244-413
1g38_A,e1g38A2,2003.1.5.51,ECOD_X_2003,Rossmann-like,A:21-243
1g6g_A,e1g6gA1,73.1.1.1,ECOD_X_73,NO_X_NAME,A:29-155
1g7s_A,e1g7sA1,1.1.7.21,ECOD_X_1,cradle loop barrel,A:228-328
1g7s_A,e1g7sA2,1.1.7.22,ECOD_X_1,cradle loop barrel,A:460-587
1g7s_A,e1g7sA3,2004.1.1.258,ECOD_X_2004,P-loop domains-like,A:1-227
1g7s_A,e1g7sA4,7526.1.1.1,ECOD_X_7526,NO_X_NAME,A:329-459
1g9g_A,e1g9gA1,109.2.1.15,ECOD_X_109,Repetitive alpha hairpins,A:1-629
1gnt_A,e1gntA1,4044.1.1.11,ECOD_X_4044,NO_X_NAME,A:23-133
1gnt_A,e1gntA2,4044.1.1.12,ECOD_X_4044,NO_X_NAME,A:134-221
1gnt_A,e1gntA3,4017.1.1.3,ECOD_X_4017,NO_X_NAME,A:1-22
1gnt_A,e1gntA4,7586.1.1.2,ECOD_X_7586,NO_X_NAME,A:222-368
1gnt_A,e1gntA5,7586.1.1.1,ECOD_X_7586,NO_X_NAME,A:369-549
1gpj_A,e1gpjA1,547.1.1.1,ECOD_X_547,NO_X_NAME,A:303-404
1gpj_A,e1gpjA2,304.41.1.1,ECOD_X_304,Alpha-beta plaits,A:1-143
1gpj_A,e1gpjA3,2003.1.1.418,ECOD_X_2003,Rossmann-like,A:144-302
1gqe_A,e1gqeA1,4006.1.1.2,ECOD_X_4006,NO_X_NAME,A:4-120
1gqe_A,e1gqeA2,304.116.1.1,ECOD_X_304,Alpha-beta plaits,A:121-225
1gqe_A,e1gqeA3,330.3.1.1,ECOD_X_330,dsRBD-like,A:226-312
1gqe_A,e1gqeA4,330.3.1.2,ECOD_X_330,dsRBD-like,A:313-365
1gqv_A,e1gqvA1,372.1.1.1,ECOD_X_372,RNase A-like,A:0-134
1gwe_A,e1gweA1,4028.1.1.4,ECOD_X_4028,NO_X_NAME,"A:6-135,A:192-422"
1gwe_A,e1gweA2,4047.1.1.4,ECOD_X_4047,NO_X_NAME,A:136-191
1gwe_A,e1gweA3,4048.1.1.1,ECOD_X_4048,NO_X_NAME,A:423-503
1h02_B,e1h02B1,367.1.1.1,ECOD_X_367,NO_X_NAME,B:3-62
1h16_A,e1h16A1,2500.1.1.10,ECOD_X_2500,NO_X_NAME,A:1-629
1h16_A,e1h16A2,7090.1.1.1,ECOD_X_7090,NO_X_NAME,A:630-759
1h2e_A,e1h2eA1,7525.1.1.1,ECOD_X_7525,NO_X_NAME,A:2-208
1h8e_G,e1h8eG2,7519.1.1.1,ECOD_X_7519,NO_X_NAME,G:1-272
1h99_A,e1h99A1,162.1.1.8,ECOD_X_162,NO_X_NAME,A:54-168
1h99_A,e1h99A2,162.1.1.8,ECOD_X_162,NO_X_NAME,A:169-275
1hbn_E,e1hbnE1,154.1.1.2,ECOD_X_154,NO_X_NAME,E:189-443
1hbn_E,e1hbnE2,304.35.1.2,ECOD_X_304,Alpha-beta plaits,E:2-188
1hc9_B,e1hc9B1,382.1.1.3,ECOD_X_382,NO_X_NAME,B:1-74
1hp1_A,e1hp1A1,805.1.1.1,ECOD_X_805,NO_X_NAME,A:363-550
1hp1_A,e1hp1A2,246.2.1.2,ECOD_X_246,Carbon-nitrogen hydrolase-like,A:26-362
1hq0_A,e1hq0A1,288.1.1.2,ECOD_X_288,NO_X_NAME,A:720-1014
1huf_A,e1hufA1,847.1.1.1,ECOD_X_847,NO_X_NAME,A:3-125
1hw1_B,e1hw1B1,101.1.2.52,ECOD_X_101,HTH,B:5-78
1hw1_B,e1hw1B2,628.1.1.1,ECOD_X_628,NO_X_NAME,B:79-230
1hye_A,e1hyeA1,279.1.1.23,ECOD_X_279,NO_X_NAME,A:146-313
1hye_A,e1hyeA2,2003.1.1.40,ECOD_X_2003,Rossmann-like,A:1-145
1i2t_A,e1i2tA1,143.1.1.1,ECOD_X_143,PABP domain-like,A:1009-1069
1i4m_A,e1i4mA1,254.1.1.1,ECOD_X_254,NO_X_NAME,A:119-226
1ifg_A,e1ifgA1,521.1.1.1,ECOD_X_521,NO_X_NAME,A:10-142
1ig0_B,e1ig0B1,10.11.1.1,ECOD_X_10,jelly-roll,B:224-319
1ig0_B,e1ig0B2,7562.1.1.1,ECOD_X_7562,NO_X_NAME,B:3-223
1ig3_A,e1ig3A1,10.11.1.1,ECOD_X_10,jelly-roll,A:179-263
1ig3_A,e1ig3A2,7562.1.1.2,ECOD_X_7562,NO_X_NAME,A:10-178
1ijt_A,e1ijtA1,6.1.1.8,ECOD_X_6,NO_X_NAME,A:79-206
1ijx_C,e1ijxC1,543.1.1.2,ECOD_X_543,NO_X_NAME,C:1-120
1ikp_A,e1ikpA1,10.1.1.10,ECOD_X_10,jelly-roll,A:2-251
1ikp_A,e1ikpA2,5000.5.1.1,ECOD_X_5000,Toxins' membrane translocation domains,A:252-394
1ikp_A,e1ikpA3,237.1.1.11,ECOD_X_237,NO_X_NAME,A:395-606
1ikt_A,e1iktA1,268.1.1.3,ECOD_X_268,Sterol carrier protein-like,A:6-120
1im5_A,e1im5A1,7561.1.1.1,ECOD_X_7561,NO_X_NAME,A:2-180
1io1_A,e1io1A1,4032.1.1.2,ECOD_X_4032,NO_X_NAME,"A:176-190,A:284-344"
1io1_A,e1io1A2,4032.1.1.1,ECOD_X_4032,NO_X_NAME,A:191-283
1io1_A,e1io1A3,4032.1.1.3,ECOD_X_4032,NO_X_NAME,A:345-402
1io1_A,e1io1A4,601.51.1.2,ECOD_X_601,Four-helical up-and-down bundle,"A:56-175,A:403-450"
1iom_A,e1iomA1,172.1.1.1,ECOD_X_172,Citrate synthase-like,A:3-376
1iuq_A,e1iuqA1,7558.1.1.2,ECOD_X_7558,NO_X_NAME,A:2-368
1ix9_A,e1ix9A1,192.3.1.1,ECOD_X_192,Long alpha-hairpin,A:1-90
1ix9_A,e1ix9A2,228.1.1.1,ECOD_X_228,NO_X_NAME,A:91-205
1j0p_A,e1j0pA1,139.1.1.2,ECOD_X_139,Multiheme cytochromes,A:0-107
1j2l_A,e1j2lA1,366.1.1.3,ECOD_X_366,NO_X_NAME,A:1-68
1j5u_A,e1j5uA1,256.1.1.1,ECOD_X_256,NO_X_NAME,"A:4-42,A:101-130"
1j5u_A,e1j5uA2,256.1.1.3,ECOD_X_256,NO_X_NAME,A:43-100
1j77_A,e1j77A1,150.1.2.6,ECOD_X_150,Ferritin/Heme oxygenase/4-helical cytokines,A:8-207
1j8e_A,e1j8eA2,389.3.1.1,ECOD_X_389,EGF-like,A:1-44
1j8r_A,e1j8rA1,11.1.5.31,ECOD_X_11,Immunoglobulin-like beta-sandwich,A:1-196
1jhs_A,e1jhsA1,881.1.1.4,ECOD_X_881,Mog1p/PsbP-like,A:31-218
1jif_A,e1jifA1,211.1.1.15,ECOD_X_211,NO_X_NAME,A:1-54
1jif_A,e1jifA2,211.1.1.6,ECOD_X_211,NO_X_NAME,A:55-122
1jke_C,e1jkeC1,2494.1.1.2,ECOD_X_2494,DTD-like,C:1-145
1jnr_C,e1jnrC1,604.2.1.3,ECOD_X_604,Spectrin repeat-like,C:503-643
1jnr_C,e1jnrC2,278.1.1.4,ECOD_X_278,NO_X_NAME,C:257-401
1jnr_C,e1jnrC3,2003.1.2.143,ECOD_X_2003,Rossmann-like,"C:2-256,C:402-502"
1jo0_A,e1jo0A1,328.4.1.1,ECOD_X_328,IF3-like,A:2-98
1jq5_A,e1jq5A1,4002.1.1.3,ECOD_X_4002,NO_X_NAME,A:162-366
1jq5_A,e1jq5A2,2007.1.7.5,ECOD_X_2007,Flavodoxin-like,A:2-162
1juv_A,e1juvA1,7501.1.1.1,ECOD_X_7501,NO_X_NAME,A:1-193
1jwq_A,e1jwqA1,2011.1.1.1,ECOD_X_2011,Phosphorylase/hydrolase-like,A:1-179
1jyo_B,e1jyoB1,241.1.1.2,ECOD_X_241,Type III secretory system chaperone-like,B:1-130
1jyo_F,e1jyoF1,853.1.1.1,ECOD_X_853,NO_X_NAME,F:36-137
1k5n_A,e1k5nA1,11.1.1.2544,ECOD_X_11,Immunoglobulin-like beta-sandwich,A:182-276
1k5n_A,e1k5nA2,233.1.1.2,ECOD_X_233,NO_X_NAME,A:1-181
1k7c_A,e1k7cA1,2007.5.1.31,ECOD_X_2007,Flavodoxin-like,A:1-233
1k7j_A,e1k7jA1,297.1.1.3,ECOD_X_297,NO_X_NAME,A:1-206
1k8k_E,e1k8kE1,533.1.1.1,ECOD_X_533,NO_X_NAME,E:2-175
1ka1_A,e1ka1A1,4018.1.1.4,ECOD_X_4018,NO_X_NAME,A:2-220
1ka1_A,e1ka1A2,7587.1.1.3,ECOD_X_7587,NO_X_NAME,A:221-355
1kew_A,e1kewA1,2003.1.1.410,ECOD_X_2003,Rossmann-like,A:1-345
1kgq_A,e1kgqA1,3001.1.1.2,ECOD_X_3001,NO_X_NAME,A:1-85
1kgq_A,e1kgqA2,208.1.1.9,ECOD_X_208,Single-stranded left-handed beta-helix,A:86-274
1knt_A,e1kntA1,384.1.1.13,ECOD_X_384,NO_X_NAME,A:2-56
1koe_A,e1koeA1,209.1.1.11,ECOD_X_209,NO_X_NAME,A:138-309
1kop_A,e1kopA1,62.1.1.1,ECOD_X_62,NO_X_NAME,A:4-226
1kpt_A,e1kptA1,3887.1.1.1,ECOD_X_3887,Yeast killer toxin-like,A:1-105
1krn_A,e1krnA1,380.1.1.2,ECOD_X_380,NO_X_NAME,A:65-143
1l2p_A,e1l2pA1,5046.1.1.3,ECOD_X_5046,NO_X_NAME,A:62-122
1l2w_I,e1l2wI1,854.1.1.1,ECOD_X_854,NO_X_NAME,I:22-78
1l5o_A,e1l5oA1,7553.1.1.1,ECOD_X_7553,NO_X_NAME,A:4-349
1l9l_A,e1l9lA1,198.1.1.9,ECOD_X_198,Saposin-like,A:1-74
1lc3_A,e1lc3A1,298.1.1.2,ECOD_X_298,FwdE/GAPDH domain-like,A:129-246
1lc3_A,e1lc3A2,2003.1.1.414,ECOD_X_2003,Rossmann-like,"A:2-128,A:247-292"
1lfp_A,e1lfpA1,4003.1.1.1,ECOD_X_4003,NO_X_NAME,A:5-80
1lfp_A,e1lfpA2,304.117.1.1,ECOD_X_304,Alpha-beta plaits,A:134-203
1lfp_A,e1lfpA3,4007.1.1.1,ECOD_X_4007,NO_X_NAME,"A:81-133,A:204-247"
1lj5_A,e1lj5A1,4059.1.1.3,ECOD_X_4059,NO_X_NAME,A:1-379
1llf_B,e1llfB1,7579.1.1.6,ECOD_X_7579,NO_X_NAME,B:1001-1534
1lln_A,e1llnA1,292.1.1.1,ECOD_X_292,RIP/Polo-box domain,A:1-262
1lr0_A,e1lr0A1,272.1.1.2,ECOD_X_272,TolA/TonB C-terminal domain,A:3-128
1lri_A,e1lriA1,357.1.1.2,ECOD_X_357,NO_X_NAME,A:1-98
1lsl_A,e1lslA1,922.1.1.4,ECOD_X_922,NO_X_NAME,A:416-472
1lsl_A,e1lslA2,922.1.1.4,ECOD_X_922,NO_X_NAME,A:473-528
1lwd_B,e1lwdB1,7510.1.1.2,ECOD_X_7510,NO_X_NAME,"B:1-106,B:287-413"
1lwd_B,e1lwdB2,7510.1.1.2,ECOD_X_7510,NO_X_NAME,B:107-286
1m15_A,e1m15A1,199.1.1.1,ECOD_X_199,NO_X_NAME,A:2-95
1m15_A,e1m15A2,321.1.1.1,ECOD_X_321,Glutamine synthetase-like,A:96-357
1m5q_I,e1m5qI1,4.1.1.74,ECOD_X_4,SH3,I:12-76
1m5q_I,e1m5qI2,3006.1.1.1,ECOD_X_3006,NO_X_NAME,I:77-137
1m7v_A,e1m7vA1,262.1.1.1,ECOD_X_262,NO_X_NAME,A:-3-359
1m8s_A,e1m8sA1,371.1.1.1,ECOD_X_371,NO_X_NAME,A:1-134
1m9z_A,e1m9zA1,382.1.1.2,ECOD_X_382,NO_X_NAME,A:26-130
1md6_A,e1md6A1,6.1.1.10,ECOD_X_6,NO_X_NAME,A:1-154
1mk0_A,e1mk0A1,821.1.1.1,ECOD_X_821,NO_X_NAME,A:1-97
1mlw_A,e1mlwA1,257.1.1.1,ECOD_X_257,NO_X_NAME,A:105-393
1msc_A,e1mscA1,265.1.1.1,ECOD_X_265,NO_X_NAME,A:1-129
1msk_A,e1mskA1,258.1.1.1,ECOD_X_258,NO_X_NAME,A:901-1227
1mv8_C,e1mv8C1,129.1.1.15,ECOD_X_129,NO_X_NAME,C:203-300
1mv8_C,e1mv8C2,2003.1.1.13,ECOD_X_2003,Rossmann-like,C:1-202
1mv8_C,e1mv8C3,2003.1.12.23,ECOD_X_2003,Rossmann-like,C:301-436
1n2m_A,e1n2mA1,303.1.1.2,ECOD_X_303,NO_X_NAME,A:7-165
1n7z_A,e1n7zA1,3899.1.1.1,ECOD_X_3899,NO_X_NAME,"A:7-91,A:206-334"
1n7z_A,e1n7zA2,4.30.1.1,ECOD_X_4,SH3,A:92-205
1n8u_A,e1n8uA1,530.1.1.1,ECOD_X_530,NO_X_NAME,A:3-102
1nf8_A,e1nf8A1,7561.1.1.1,ECOD_X_7561,NO_X_NAME,A:1-207
1ng6_A,e1ng6A1,610.4.1.1,ECOD_X_610,ERP29 C domain-like,A:1-148
1nh2_B,e1nh2B1,104.1.1,ECOD_X_104,NO_X_NAME,B:3-48
1nij_A,e1nijA1,884.1.1.1,ECOD_X_884,NO_X_NAME,A:224-318
1nij_A,e1nijA2,2004.1.1.1408,ECOD_X_2004,P-loop domains-like,A:2-223
1njh_A,e1njhA1,3504.1.1.1,ECOD_X_3504,MutM N-terminal domain-like,A:-1-116
1nl1_A,e1nl1A1,380.1.1.2,ECOD_X_380,NO_X_NAME,A:66-147
1nl1_A,e1nl1A2,393.1.1.6,ECOD_X_393,NO_X_NAME,A:1-65
1nnh_A,e1nnhA1,314.1.1.5,ECOD_X_314,NO_X_NAME,A:2-294
1nns_A,e1nnsA2,7546.1.1.1,ECOD_X_7546,NO_X_NAME,A:1-209
1nns_A,e1nnsA3,7507.1.1.1,ECOD_X_7507,NO_X_NAME,A:210-326
1ntv_A,e1ntvA1,220.1.1.20,ECOD_X_220,PH domain-like,A:23-174
1nty_A,e1ntyA1,220.1.1.57,ECOD_X_220,PH domain-like,A:1415-1535
1nty_A,e1ntyA2,133.1.1.1,ECOD_X_133,DH domain-like,A:1231-1414
1o0s_A,e1o0sA1,2003.1.1.41,ECOD_X_2003,Rossmann-like,A:296-478
1o0s_A,e1o0sA2,2007.1.6.1,ECOD_X_2007,Flavodoxin-like,A:2-295
1o0s_A,e1o0sA3,7073.1.1.1,ECOD_X_7073,NO_X_NAME,A:479-603
1o1x_A,e1o1xA1,7560.1.1.1,ECOD_X_7560,NO_X_NAME,A:-1-143
1o4k_A,e1o4kA1,214.1.1.26,ECOD_X_214,NO_X_NAME,A:2-106
1o75_A,e1o75A1,11.1.1.142,ECOD_X_11,Immunoglobulin-like beta-sandwich,A:207-332
1o75_A,e1o75A2,11.1.1.278,ECOD_X_11,Immunoglobulin-like beta-sandwich,A:333-414
1o75_A,e1o75A4,711.1.1.1,ECOD_X_711,Tp47 lipoprotein N-terminal domain,"A:7-34,A:155-206"
1o75_A,e1o75A5,711.2.1.1,ECOD_X_711,Tp47 lipoprotein N-terminal domain,A:44-154
1o98_A,e1o98A1,7515.1.1.4,ECOD_X_7515,NO_X_NAME,"A:2-76,A:311-510"
1o98_A,e1o98A2,7554.1.1.1,ECOD_X_7554,NO_X_NAME,A:77-310
1oao_C,e1oaoC1,4044.1.1.2,ECOD_X_4044,NO_X_NAME,C:1-121
1oao_C,e1oaoC2,4223.1.1.1,ECOD_X_4223,NO_X_NAME,C:316-498
1oao_C,e1oaoC3,4971.1.1.1,ECOD_X_4971,NO_X_NAME,C:586-729
1oao_C,e1oaoC4,4017.1.1.4,ECOD_X_4017,NO_X_NAME,C:499-585
1oao_C,e1oaoC5,7586.1.1.1,ECOD_X_7586,NO_X_NAME,C:122-315
1ocy_A,e1ocyA1,877.1.1.15,ECOD_X_877,NO_X_NAME,A:330-527
1oh9_A,e1oh9A1,7531.1.1.1,ECOD_X_7531,NO_X_NAME,A:1-258
1ois_A,e1oisA1,4039.1.1.2,ECOD_X_4039,NO_X_NAME,"A:141-158,A:255-363"
1ois_A,e1oisA2,4057.1.1.1,ECOD_X_4057,NO_X_NAME,A:159-251
1ojh_C,e1ojhC1,562.1.1.1,ECOD_X_562,NO_X_NAME,C:6-56
1ojq_A,e1ojqA1,237.1.1.1,ECOD_X_237,NO_X_NAME,A:1-212
1ok0_A,e1ok0A1,701.1.1.1,ECOD_X_701,NO_X_NAME,A:1-74
1ouw_C,e1ouwC1,76.1.1.12,ECOD_X_76,NO_X_NAME,C:2-152
1p5g_X,e1p5gX1,331.2.1.5,ECOD_X_331,TBP-like,X:368-463
1p5g_X,e1p5gX2,7528.1.1.1,ECOD_X_7528,NO_X_NAME,X:9-154
1p5g_X,e1p5gX3,7528.1.1.2,ECOD_X_7528,NO_X_NAME,X:155-258
1p5g_X,e1p5gX4,7528.1.1.3,ECOD_X_7528,NO_X_NAME,X:259-367
1pby_C,e1pbyC1,584.1.1.1,ECOD_X_584,NO_X_NAME,C:1-79
1pcf_C,e1pcfC1,295.1.1.20,ECOD_X_295,ssDNA-binding transcriptional regulator domain-like,C:62-127
1pch_A,e1pchA1,322.1.1.2,ECOD_X_322,NO_X_NAME,A:2-89
1pp0_C,e1pp0C1,858.1.1.1,ECOD_X_858,NO_X_NAME,C:2005-2198
1ptq_A,e1ptqA1,376.1.2.1,ECOD_X_376,RING/U-box-like,A:231-280
1puc_A,e1pucA1,811.1.1.1,ECOD_X_811,NO_X_NAME,A:2-102
1pv5_A,e1pv5A1,804.1.1.1,ECOD_X_804,NO_X_NAME,A:1-261
1q2h_A,e1q2hA1,165.3.1,ECOD_X_165,Dimerisation interlock,A:21-83
1q74_C,e1q74C1,7567.1.1.1,ECOD_X_7567,NO_X_NAME,C:3-298
1q8f_A,e1q8fA1,7517.1.1.1,ECOD_X_7517,NO_X_NAME,A:3-310
1qau_A,e1qauA1,7.1.1.2,ECOD_X_7,NO_X_NAME,A:14-125
1qb7_A,e1qb7A1,7573.1.1.1,ECOD_X_7573,NO_X_NAME,A:2-237
1qcs_A,e1qcsA1,1.1.2.4,ECOD_X_1,cradle loop barrel,A:0-85
1qcs_A,e1qcsA2,229.1.1.1,ECOD_X_229,NO_X_NAME,A:86-201
1qdd_A,e1qddA1,209.1.1.24,ECOD_X_209,NO_X_NAME,A:1-144
1qgi_A,e1qgiA1,235.1.1.7,ECOD_X_235,NO_X_NAME,A:1-259
1qhv_A,e1qhvA1,5092.1.1.1,ECOD_X_5092,NO_X_NAME,A:388-582
1ql0_B,e1ql0B1,378.1.1.5,ECOD_X_378,NO_X_NAME,B:5-245
1qlm_A,e1qlmA1,869.1.1.1,ECOD_X_869,NO_X_NAME,A:1-316
1qnx_A,e1qnxA1,273.1.1.2,ECOD_X_273,NO_X_NAME,A:-4-204
1qw2_A,e1qw2A1,850.1.1.1,ECOD_X_850,NO_X_NAME,A:14-115
1qwz_A,e1qwzA1,290.1.1.1,ECOD_X_290,NO_X_NAME,A:10-244
1qxo_A,e1qxoA1,875.1.1.1,ECOD_X_875,NO_X_NAME,A:1-388
1r0k_A,e1r0kA1,166.1.1.1,ECOD_X_166,NO_X_NAME,A:291-385
1r0k_A,e1r0kA2,298.1.1.6,ECOD_X_298,FwdE/GAPDH domain-like,A:150-264
