name,split,sequence_sha256,length,source_neq_row,label_mapping_method,exact_sequence_group_id,mmseqs_cluster_id,ecod_x_ids,union_group_id
1qau_A,test,ad0d75343f97ae0671ccce189f28581ba8fcd8878876dd36b1c30ddf8a4ba7fb,112,54,unique_sequence,exact_0185,mmseqs_0185,ECOD_X_7,union_0024
2fe5_A,test,47aed7b1201ec426e4b5d8bf1b394c87f665567c3b5d4eddde114dafd0a82373,94,386,unique_sequence,exact_0391,mmseqs_0383,ECOD_X_7,union_0024
3bpt_A,test,a66dfa9c4f891626855d53d57e4f6d3a3dfd9b67ac0f3beb97e24d740b36e97e,363,1141,unique_sequence,exact_0670,mmseqs_0644,ECOD_X_2486,union_0024
4ghn_A,test,db695ba17efc077f5bd967184ed8eeb9257ae9496da3aa5be13b1ed17e37a21f,393,914,unique_sequence,exact_1001,mmseqs_0963,ECOD_X_2486;ECOD_X_3694;ECOD_X_7,union_0024
1dpt_A,test,67941bb6e7393180b44a645ed852f2f137d4517f7215c11e9f67d8fe5f56caf6,117,669,unique_sequence,exact_0036,mmseqs_0036,ECOD_X_315,union_0026
6q10_A,test,52b85f024e88f9611ea34acf4c460333a68f664533e64558adc80bf0ec39ab5c,155,901,unique_sequence,exact_1326,mmseqs_1262,ECOD_X_315,union_0026
1dzf_A,test,cbb62a307ad153c255d09b1c38b21b1866a034868655b605fa2a8e4f6e878fa7,215,654,unique_sequence,exact_0040,mmseqs_0040,ECOD_X_2008;ECOD_X_840,union_0029
2ot9_A,test,f0fe5964f9fde43b9d7bd53d8dc1b4baf6b06e49fda2120a91787fcb19f6b8e0,180,477,unique_sequence,exact_0481,mmseqs_0467,ECOD_X_2008,union_0029
3dpg_B,test,bcb92fe090ec26829064c8d5bd8db96159493d8458db1198e1035f269a162d9b,338,1262,unique_sequence,exact_0704,mmseqs_0677,ECOD_X_2008,union_0029
1ez3_B,test,1862b38e8aa1db7aabe7285ac1b727bd2e55d55507f5845ce1f8e475d817d996,127,230,unique_sequence,exact_0046,mmseqs_0046,ECOD_X_603,union_0033
3onj_A,test,58ec407fdcd362f3ed1548292d9a34b80b418acbe0624f3323da710e682a48f0,97,661,unique_sequence,exact_0882,mmseqs_0847,ECOD_X_603,union_0033
1f9p_A,test,6d3b6be45a552dfded7a1cedd5a145e551ce0022fef0209391ebbcfc9ee8d78a,85,792,unique_sequence,exact_0050,mmseqs_0050,ECOD_X_1170,union_0035
2j7z_A,test,ae68b4707988e1ca39fa34d5c77067e48ed75860c4dae0a8d1d8d746e9ac0410,68,1385,unique_sequence,exact_0455,mmseqs_0442,ECOD_X_1170,union_0035
1fxo_G,test,6d7c70f2a015024deaf10db91aaa082a21e9986c7bdaf15f37d205312947e502,293,1246,unique_sequence,exact_0059,mmseqs_0059,ECOD_X_7516,union_0042
2waw_A,test,c1f172e85b8d5ea052fb3d1d7dbdfcbf2875e2672334dbe48ccc407728dc0582,199,32,unique_sequence,exact_0583,mmseqs_0563,ECOD_X_7516,union_0042
3jsz_A,test,263346a0e2bca7656f2ed01cfe94031612f946d35e204b8350897b47b5306695,525,435,unique_sequence,exact_0792,mmseqs_0762,ECOD_X_3296;ECOD_X_7516,union_0042
1h99_A,test,645eb8ddce6c99734b72f9cd56ff8b9bdd599cb38f1c2806ccdfaf0137664856,224,645,unique_sequence,exact_0074,mmseqs_0074,ECOD_X_162,union_0050
3nuf_A,test,c8e3091ef77fa6c06635e49282fcaaf0feb12596dc6120724b129cd2e52232c8,119,875,unique_sequence,exact_0868,mmseqs_0834,ECOD_X_162,union_0050
1ijx_C,test,125ce6b377bc56a33b6256460a74702db9d3eeb7e2b9e0d88e32f46a4ad491c7,127,425,unique_sequence,exact_0088,mmseqs_0088,ECOD_X_543,union_0059
3gkj_A,test,04e1fc74dd4c2cfbdb7047c8a609b468a2fdbb87f355eae21dad9bf88875e280,232,1269,unique_sequence,exact_0749,mmseqs_0720,ECOD_X_543,union_0059
1ikt_A,test,5679bc508e7f35c825243cdeda48637381cc29bced63b6a27630c929a1b13a96,120,1207,unique_sequence,exact_0090,mmseqs_0090,ECOD_X_268,union_0060
2cx7_A,test,a7b5f2a5352d6732038808fc93519fc4f8e1ad8d5ed2e02209295993ad25e883,130,170,unique_sequence,exact_0359,mmseqs_0351,ECOD_X_268,union_0060
1im5_A,test,d21328d8eed9f652f13e00dbc2da9d75a8c518344c59edcc3b0c647f929b2e7c,180,1331,unique_sequence,exact_0091,mmseqs_0091,ECOD_X_7561,union_0061
1nf8_A,test,33a0c3e376bbeb2eb85eea9a5b582fcbfb1d6dc99cf4d9c65b04ced6b6affe91,207,1192,unique_sequence,exact_0151,mmseqs_0151,ECOD_X_7561,union_0061
1iom_A,test,81af5dc2cab32dbcad464c17bff40c673286a7cf88c103becff483f963f90747,377,98,unique_sequence,exact_0093,mmseqs_0093,ECOD_X_172,union_0062
3msu_B,test,eaee5b0178162ef195603cdd2b2a3b66ae2666d42204fafc7254db90b3f065ab,427,629,unique_sequence,exact_0851,mmseqs_0093,ECOD_X_172,union_0062
1j8e_A,test,33c536c4830cc69f5bc0721314cae9b016d464dfaff3ea7beb382925b44a5d2d,44,152,unique_sequence,exact_0100,mmseqs_0100,ECOD_X_389,union_0067
1wqj_B,test,bfa257c3a8f9aa7c5b8586706efa6852165429cdeace90967e2c0883a4b60831,80,827,unique_sequence,exact_0281,mmseqs_0279,ECOD_X_389,union_0067
2w86_A,test,729ab9f0c7212f0f151275a4ddddc4be5db064e8699f140c1623563c82069e23,147,762,unique_sequence,exact_0580,mmseqs_0560,ECOD_X_370;ECOD_X_389,union_0067
1jhs_A,test,8e9e6b6d8ff0e96b75dcf4583b2dde9c7d94bb4b999a3825659c0602c09fd69f,188,197,unique_sequence,exact_0102,mmseqs_0102,ECOD_X_881,union_0068
1vr8_A,test,ae147c8af3763980bc2c6f22df860a118ac90e48b092568f52c9656c09aec229,142,397,unique_sequence,exact_0265,mmseqs_0263,ECOD_X_881,union_0068
3hlz_B,test,e1cb44d32fe9bbcaaa19299f1961c6713547c1c99f6f4d71c15b70e1a65b1bf3,269,643,unique_sequence,exact_0766,mmseqs_0737,ECOD_X_3859;ECOD_X_881,union_0068
1jif_A,test,f80221359f18b12a4f22954f3f42fae8338096fbf105449923b3f839a80159b1,122,775,unique_sequence,exact_0103,mmseqs_0103,ECOD_X_211,union_0069
1zsw_A,test,d89a0daa0435b1752947c285424c5db22925c6bfa5f1930c5e5e249f7dd2091b,338,1276,unique_sequence,exact_0321,mmseqs_0315,ECOD_X_211,union_0069
1jo0_A,test,96cc4439d733faf611a585e12233ac2622f404ea4a607143d72bd93c7c64e936,98,233,unique_sequence,exact_0106,mmseqs_0106,ECOD_X_328,union_0070
2gg6_A,test,0d89bf8d391607723cb1a47d24797c67d74bd1e8eead1ff40b1a12047b16a75a,455,688,unique_sequence,exact_0409,mmseqs_0400,ECOD_X_328,union_0070
3ti2_A,test,f2cb08b0cd2c05b1661a28aa02f503c4f60b59b04dd8b8a872b08ea09b6aae0a,228,216,unique_sequence,exact_0922,mmseqs_0885,ECOD_X_328,union_0070
1jyo_B,test,7bcebaf4ed4d3c578fbb78724b409b58db353f3b9b38600f81f6243cd0da4864,130,854,unique_sequence,exact_0110,mmseqs_0110,ECOD_X_241,union_0072
3mqz_A,test,a0c55e1f09d692b8c5b817b07b2fc9e0eaecd67d2bf0154b9eadc8037f7f57b8,215,1327,unique_sequence,exact_0850,mmseqs_0818,ECOD_X_241,union_0072
1knt_A,test,ae3680bc8812f3dbd1b25fa9468d6b8998f4c7d9daadaf988540e6eb7a7c6ef9,58,273,unique_sequence,exact_0119,mmseqs_0119,ECOD_X_384,union_0076
2w8x_A,test,15f6e2878eadebec0c2faa123fe0b665d31e302886674dba4c6a6825ecb25e3f,72,1257,unique_sequence,exact_0581,mmseqs_0561,ECOD_X_384,union_0076
1l5o_A,test,686a3fa06d9b46b205378ce3a4583fe314d81bab87d391ea5e568010042c86b6,356,348,unique_sequence,exact_0126,mmseqs_0126,ECOD_X_7553,union_0083
1wx1_B,test,7f62a779d3f97c8063d0cb0334c78e58a7ee9f9471415a34eec5e98df7f80329,335,619,unique_sequence,exact_0284,mmseqs_0126,ECOD_X_7553,union_0083
1l9l_A,test,bf9d4881a77eb209d6d776498136cbddf7d5c352f27f9da8b93873ec00c5ccfe,74,398,unique_sequence,exact_0127,mmseqs_0127,ECOD_X_198,union_0084
3bqp_B,test,30625cf6e4b7b4bb7d73f6fd19298da124286769d4f03d8dbaa60b4ac522fe87,80,728,unique_sequence,exact_0672,mmseqs_0646,ECOD_X_198,union_0084
1llf_B,test,82d73a2f266f85415b50bc83ebe2cc366c73367fac626a807c5fd40e176ba793,534,917,unique_sequence,exact_0131,mmseqs_0131,ECOD_X_7579,union_0086
1ys1_X,test,7dc6e84c73dbc04212f025122598753517e2cfc75590ddb643ccfda80e1fd1b2,320,1240,unique_sequence,exact_0307,mmseqs_0302,ECOD_X_7579,union_0086
4ezi_A,test,a503e6042323a7a99ae9d89b43884ca3d96461ea0bfa173e537e5d148eedfe93,377,962,unique_sequence,exact_0990,mmseqs_0952,ECOD_X_6080;ECOD_X_7579,union_0086
7wab_A,test,9c7231d398eabd948ae618974f9f5b5481509419a0fbdb55a763c9ecc7bb80cb,484,1266,unique_sequence,exact_1372,mmseqs_1304,ECOD_X_3621;ECOD_X_7579,union_0086
1lr0_A,test,3b4879ccfcf4242f83bb3df70c5a5fef5eaf553c2a84e2b1f21401b80df83a75,129,760,unique_sequence,exact_0133,mmseqs_0133,ECOD_X_272,union_0088
1u07_A,test,845b7151e1cd70ab51a196d726ba16bb58387812a09406e969421606d05926ba,90,1229,unique_sequence,exact_0233,mmseqs_0232,ECOD_X_272,union_0088
1lwd_B,test,d68f70fc28c1088e1d89d2d0a6901f1102de4e2b29526abef9754ebc35150cf9,413,141,unique_sequence,exact_0136,mmseqs_0136,ECOD_X_7510,union_0091
2b0t_A,test,c7ca49571d67e7999b8c07a3ef6738ccadfbd564c6558e154bbb6e759defef08,738,1341,unique_sequence,exact_0336,mmseqs_0329,ECOD_X_7510,union_0091
1m7v_A,test,ef27e3707bc5d878bc470469a31b43193a9fc2f77c5cd78bd55bff5cc9127b7d,363,822,unique_sequence,exact_0139,mmseqs_0139,ECOD_X_262,union_0092
5g68_A,test,c5158f5b655d67de07d6eb63e3de8d56dae628bbf9d60ddb27d479d5686cb629,363,1349,unique_sequence,exact_1156,mmseqs_0139,ECOD_X_262,union_0092
1msc_A,test,e381ab6a6a3b5f5ce0ffed526f8a6375ec72567fbd0b04bb68763004e91099be,129,24,unique_sequence,exact_0145,mmseqs_0145,ECOD_X_265,union_0096
2qud_A,test,8645e9c0ce41007b0287624c9909dd74709b40c749b33fdd4fecca7d188579de,125,67,unique_sequence,exact_0536,mmseqs_0518,ECOD_X_265,union_0096
1msk_A,test,bd1ed6d3a5cefbd860741017f85d77cc06caf77b53fe75a13b3bd09213f2aa6e,331,1312,unique_sequence,exact_0146,mmseqs_0146,ECOD_X_258,union_0097
6bm5_A,test,06ff09dea947cdef46f5edb230cc4d960ac6d95deb7c0705d4eefe6b447e68a3,333,214,unique_sequence,exact_1265,mmseqs_0146,ECOD_X_258,union_0097
1o98_A,test,8a8e8c0d9ce69c8de168b51a84853e7f3498c4dc68c2431da93c5264b6367255,511,1047,unique_sequence,exact_0165,mmseqs_0165,ECOD_X_7515;ECOD_X_7554,union_0104
3e2d_A,test,ab2e7322a903432d9b411d8cfe08b3f0345aec850f66f7cdcc437168d3316117,502,741,unique_sequence,exact_0708,mmseqs_0681,ECOD_X_7515,union_0104
3igz_B,test,15afcc1b00130cd3117043c38a193f46604700a84cb0aeff7ffab21ea3c781ea,561,3,unique_sequence,exact_0776,mmseqs_0165,ECOD_X_7515;ECOD_X_7554,union_0104
3ot9_B,test,e8d7b0485783d1fb7c85e438f11f6b8f59706db00c4bf225c0716e44cb76ed05,399,256,matched_original_atlas_neq,exact_0884,mmseqs_0849,ECOD_X_4344;ECOD_X_7515,union_0104
3twz_A,test,e8d7b0485783d1fb7c85e438f11f6b8f59706db00c4bf225c0716e44cb76ed05,399,603,matched_original_atlas_neq,exact_0884,mmseqs_0849,ECOD_X_4344;ECOD_X_7515,union_0104
1ouw_C,test,e8f141e746b1dbdf098aa5a0ad32272e73f381f0f6ce85c1af2eca829a414ffd,152,293,unique_sequence,exact_0173,mmseqs_0173,ECOD_X_76,union_0110
3apa_A,test,356339b8449d7f8a52791e59c635b56f4a1112850b83b4f99dee9e6a55513de0,141,886,unique_sequence,exact_0656,mmseqs_0631,ECOD_X_76,union_0110
1pby_C,test,cf2b5efafb36601935ec931cc3f2fa2dfad2c0a57b5e7566a651d221db0b04a2,79,601,unique_sequence,exact_0175,mmseqs_0175,ECOD_X_584,union_0111
1q74_C,test,d1d9cf73bba4d3a85706d81b52ca6ee198f4e38c7f0013b1cc0e137adb5e299c,303,998,unique_sequence,exact_0183,mmseqs_0183,ECOD_X_7567,union_0118
3dff_A,test,c79a345cc7967af0ba788306cae1c4f4cfa769821b6919bf0e55fc89d43f55ca,273,1140,unique_sequence,exact_0698,mmseqs_0671,ECOD_X_7567,union_0118
1qhv_A,test,b1eff804c64616d1835f16825b62a982afd1ef4dd0ee123d169d30546088e164,195,392,unique_sequence,exact_0190,mmseqs_0190,ECOD_X_5092,union_0122
2vrs_C,test,3d02724bfe30064546fd878c8b5a7f39fe73c7397a150a40422444d71955763c,211,539,unique_sequence,exact_0572,mmseqs_0552,ECOD_X_5092;ECOD_X_53,union_0122
1qnx_A,test,7e72353ce3ef1880fabf84a86c1c1e2fd6c99ce8340bbe06b199e727d78a6657,209,410,unique_sequence,exact_0193,mmseqs_0193,ECOD_X_273,union_0125
1xta_A,test,6e8da6b2af474a5b00a0e4920b1bbafa97778172ca585c7cf7712a4b2f47e701,221,823,unique_sequence,exact_0295,mmseqs_0292,ECOD_X_273;ECOD_X_354,union_0125
1rk8_B,test,20f7ccec3003138a00b65b8e60035f5ff9c4edd5abbef264092e5f6a5567c26a,147,1290,unique_sequence,exact_0203,mmseqs_0203,ECOD_X_861,union_0129
1t61_E,test,c91c45ed8c2d308989acc2c12ececea8a6fbc6c98b0172ff60ac801088565f35,229,541,unique_sequence,exact_0220,mmseqs_0220,ECOD_X_352,union_0138
5naz_A,test,9d7a5b361ec8fbe250005b10658b32088c0397e3fe0e86bd74a297f0eff08285,229,480,unique_sequence,exact_1206,mmseqs_0220,ECOD_X_352,union_0138
1t9i_B,test,a2520a2ed1f2bc13ccc1953f7a0acea7bea069de84cb9c64c279f4fa16bb89c8,163,68,unique_sequence,exact_0224,mmseqs_0223,ECOD_X_242,union_0140
1zd7_B,test,8576a2883ee9b5c260b1de4ce81125b3063c44684d99aab3d0d48c9cec669f43,159,711,unique_sequence,exact_0315,mmseqs_0309,ECOD_X_69,union_0140
2in8_A,test,83c681a6d24e5711953e22eb7cf7fe825732a85f23a24c6c1251fe909b93e456,139,1068,unique_sequence,exact_0449,mmseqs_0436,ECOD_X_69,union_0140
7qsu_A,test,8cdd1c50a3ad2ddf8fb0a1b734e5b53e1ab017684663e9f3b93d50f8fc967cda,374,864,unique_sequence,exact_1369,mmseqs_1301,ECOD_X_242;ECOD_X_69,union_0140
1v4p_C,test,36d48c88b0f5f977a492c529d2c4ec07fdc41126650ad07b6f66fdcc82a56115,157,963,unique_sequence,exact_0251,mmseqs_0249,ECOD_X_309,union_0153
3d3y_A,test,96c415067b921b0d7c7f91a772345308abedf7d6a917e1e067de9c590700ca51,425,585,unique_sequence,exact_0691,mmseqs_0664,ECOD_X_309,union_0153
1vk1_A,test,f33d2ca6c3906f1cbe51c5759885145afcef1cbb4104007959a93999e54c3639,242,732,unique_sequence,exact_0262,mmseqs_0260,ECOD_X_5103;ECOD_X_876,union_0163
3cyi_A,test,8d38dcbe4b745e8dae6d12133ea76c766fd357a7990f88b76f4554a13229af3b,110,131,unique_sequence,exact_0687,mmseqs_0660,ECOD_X_876,union_0163
1wlg_B,test,4d28076ed786226bdba4874c54dabe6927f6fa7d2234bcab1ce910f74b9d7449,299,564,unique_sequence,exact_0275,mmseqs_0273,ECOD_X_4167;ECOD_X_4998,union_0171
6ndw_B,test,48ba442276440bd817d16fc3b92d9432c89f2a44fc2f09c39d8f5adec593cfee,178,1263,unique_sequence,exact_1312,mmseqs_1248,ECOD_X_4998,union_0171
1wpu_A,test,b3fdb466152219e29a26aa78ce14a6ac1d93676d5dc44efc9ede0cdda882f978,147,107,unique_sequence,exact_0278,mmseqs_0276,ECOD_X_849,union_0174
1xg0_A,test,12e67dc5890563640013a91d98b9386b563181f2cb06e1a8a780698f04a31631,76,796,unique_sequence,exact_0287,mmseqs_0284,ECOD_X_851,union_0179
1xkr_A,test,8051bdfc2ed4803170c115036cc75213c4071836c035491518650b700f73a71a,206,184,unique_sequence,exact_0291,mmseqs_0288,ECOD_X_866,union_0181
3h2d_B,test,141f29ac10fe6e14a2e1f385553dc7d07227b60a6762ed331368f6fedd667ff4,155,378,unique_sequence,exact_0759,mmseqs_0730,ECOD_X_866,union_0181
1yu5_X,test,a1491e5841e32345670968415e9cead841c31a7312e76d442918ea5c9254ba2b,67,836,unique_sequence,exact_0309,mmseqs_0304,ECOD_X_155,union_0188
2rjw_A,test,12a2783b246b1abb2e3473b6d7519eb4c88d293fe375d3af2dc1d0e8a9d1b2bb,67,1379,unique_sequence,exact_0547,mmseqs_0304,ECOD_X_155,union_0188
1z7k_B,test,4eb856acb654d71e9476f316e8f06ce32ab2dd0e622fa7584da421ec995998f7,62,858,unique_sequence,exact_0314,mmseqs_0308,ECOD_X_379,union_0192
2gkr_I,test,f8ce6fb852159c2b5df5fb9b9a949de32de4527907dee3fcba5cf2f369116731,51,1373,unique_sequence,exact_0414,mmseqs_0308,ECOD_X_379,union_0192
1zjc_A,test,3da15a422751b3f49a6a394104ed00c06cd9ae6e4c85483c8330ac8db7dece32,418,1138,unique_sequence,exact_0317,mmseqs_0311,ECOD_X_4160;ECOD_X_7590,union_0194
3vnb_A,test,b36cb880b11f4ba9b900d705b90f7fd20dbc6fd24f8e4a15232973f049468d1b,155,1055,unique_sequence,exact_0936,mmseqs_0899,ECOD_X_7590,union_0194
2bln_B,test,41bd13f2719ad355955e42d4ae6ce223889e6e84545956d72d01a5bc03e3bf70,305,707,unique_sequence,exact_0348,mmseqs_0341,ECOD_X_270;ECOD_X_7571,union_0206
3da8_A,test,3536f1ee67a06378e546ae695d708fe38bacb0e8dac232df6fcef7842fbf031c,215,282,unique_sequence,exact_0694,mmseqs_0667,ECOD_X_7571,union_0206
3q0i_A,test,f152b2eef66755bb6c915fdc05a9abd82afe106682969d58120d32d98d22a6f1,318,72,unique_sequence,exact_0899,mmseqs_0864,ECOD_X_270;ECOD_X_7571,union_0206
2ehq_A,test,b47fd3f54a616fa5fda4b9fe0df232a0b9bd9dc66969d1d67222f46ee50d97ed,516,352,unique_sequence,exact_0379,mmseqs_0371,ECOD_X_7524,union_0222
3b4w_A,test,c94511f140b75e7892b588782b31d4a70ce2327dc1a8b0866f92c918df454905,495,713,unique_sequence,exact_0660,mmseqs_0371,ECOD_X_7524,union_0222
2fb6_A,test,4e42918025d0491094024018a94d04c7619f2a775b3cb321ba6c5aa141df76e9,117,1309,unique_sequence,exact_0390,mmseqs_0382,ECOD_X_7545,union_0230
2hy5_A,test,759b75edb24eebd4952d5135d9029b8384f9acf13162cd2fc7d08116b43fda91,130,1241,unique_sequence,exact_0432,mmseqs_0420,ECOD_X_7545,union_0230
2h1t_B,test,51b18dd90d4a1e12e546beb30d390e1e28ced68df9ad798a77498cfd1495da86,188,588,unique_sequence,exact_0421,mmseqs_0411,ECOD_X_71,union_0249
3bk5_A,test,35f737a91fc757ad3713bd87f0c12fa93ff5a4e1c9273a84d0429246eafee8f0,237,185,unique_sequence,exact_0665,mmseqs_0639,ECOD_X_71,union_0249
2hq4_A,test,9b25d8d619ac808e0370635fef57c331226cd7e3eecd9332fa40f7dc6fa38754,161,718,unique_sequence,exact_0428,mmseqs_0417,ECOD_X_4089,union_0254
2hyv_A,test,c1642db95133888f346092faec0fb22b72732d4845fd637bdac019df2679f847,308,867,unique_sequence,exact_0433,mmseqs_0421,ECOD_X_176,union_0256
2ie6_A,test,435ed191f39b23b5903b3eb079ab3578774023e36aa73d3c9a64d09763e26b7a,318,1151,unique_sequence,exact_0443,mmseqs_0421,ECOD_X_176,union_0256
2igp_A,test,bc2595ae85f55da4121fef3ca7c447bfbcfb81f9c1393c4c6eada8e08016718b,120,21,unique_sequence,exact_0445,mmseqs_0432,ECOD_X_193,union_0262
2qjz_A,test,4ef307544ecda30c676f285aa16fe5ffc8e375abda5f4de5ea78a9f1f57a86bc,123,787,unique_sequence,exact_0528,mmseqs_0510,ECOD_X_193,union_0262
2vzc_A,test,bdcadebddb608d1b90d92f8b368bcf91b245a0f68c831fd047d0ce11e25a5516,131,1089,unique_sequence,exact_0574,mmseqs_0554,ECOD_X_193,union_0262
2ozl_A,test,8b6be39b32bce02dd41e419be3fa2f82026df0268c799a3ef4ce2946d5ab95b5,365,101,unique_sequence,exact_0489,mmseqs_0474,ECOD_X_7574,union_0283
3ju3_A,test,50c75404feb51fb3f02b707a0a77251bc43b56ef67845625c96252bd9f9689a0,118,785,unique_sequence,exact_0794,mmseqs_0764,ECOD_X_7522,union_0283
3l84_A,test,a11e306daf05cbed8f5b88e7f4ad28f1606b486b2a9537cd055e20e91bcfdbdd,632,941,unique_sequence,exact_0815,mmseqs_0783,ECOD_X_7522;ECOD_X_7574,union_0283
5exe_C,test,903fe9cffa3517cb4a13d5a1341fd58a12075371c273107d37b79a91039f143f,314,1232,unique_sequence,exact_1151,mmseqs_1104,ECOD_X_7574,union_0283
2pag_A,test,93372dd8deff4d9dbeb8445c03ce601524b2f7ae6877590c0afb8bd5fe02fbcf,135,161,unique_sequence,exact_0500,mmseqs_0483,ECOD_X_4205,union_0290
2prv_A,test,08eabacebdf64ed03aedf53c7d1ef336fe9d3769512b6c0c73115a82b2faf134,153,930,unique_sequence,exact_0511,mmseqs_0494,ECOD_X_4205,union_0290
2rkv_A,test,4159137600c124882c21fe4ae5539ce1c1b0ae53867315a38552f608c8984789,451,182,unique_sequence,exact_0550,mmseqs_0531,ECOD_X_323,union_0310
3cla_A,test,8e7cb4f472e327195952d9c21a9979ecfbca69a1cbfab5822f2679b2d385eb17,213,194,unique_sequence,exact_0683,mmseqs_0656,ECOD_X_323,union_0310
2v9m_A,test,67312779aee8e9c8c84a75741360bef6c88b80d323b7867913cbc02fc798113a,274,1311,unique_sequence,exact_0558,mmseqs_0539,ECOD_X_281,union_0312
3m4r_A,test,f95eb23a0d11add3526d9f3b97dbf6386bb3145a24c936f139d75d051de027b5,222,361,unique_sequence,exact_0837,mmseqs_0805,ECOD_X_281,union_0312
2vfx_C,test,a20910182970386e71e3293f1e00a19d0e712142993113fad61847bdbc11d364,206,355,unique_sequence,exact_0562,mmseqs_0543,ECOD_X_859,union_0314
4wzg_A,test,0d29877a2ae2cf3cbcb3b9253ad2c49da2b42d4ecf34128be170755429a56d14,218,1365,unique_sequence,exact_1094,mmseqs_1050,ECOD_X_859,union_0314
2vkp_B,test,e9ffabb8dc9b7447d240895d047918de1f85dffe02ab26bda9e1a46d222a9ed1,109,1296,unique_sequence,exact_0566,mmseqs_0546,ECOD_X_226,union_0317
3fkc_A,test,fde1a94939856c1333e94ae168805568517ae0205798265fae7d335e9f0b5e32,116,1239,unique_sequence,exact_0730,mmseqs_0702,ECOD_X_226,union_0317
2vri_A,test,3967a4a862f263fceb2b123aca87c51c4d65531d3ba36203285b3b734fbb0638,174,818,unique_sequence,exact_0571,mmseqs_0551,ECOD_X_7529,union_0320
4fc2_B,test,065afb184841a37d82eb392974aca3ae1297f63741fe31ee242e45f713723ea8,521,751,unique_sequence,exact_0994,mmseqs_0956,ECOD_X_3762;ECOD_X_7529,union_0320
4na5_A,test,81e3c43ae9a2fd9389a66b80b4053e31271c42169b4f3ea1f4819bd329e0eda2,522,455,unique_sequence,exact_1046,mmseqs_0956,ECOD_X_3762;ECOD_X_7529,union_0320
6fy5_A,test,211d926e56620249873e0998755196dbf390237e831f42eef2b9d8d65930e2ab,198,1081,unique_sequence,exact_1287,mmseqs_1224,ECOD_X_7529,union_0320
