protein,contact_record_present,mapping_accepted,status,error,mapping_status,alignment_identity,input_coverage,experimental_method,resolution_angstrom,pdb_file,contact_source_json,pdb_atom_count_first_model,water_primary_eligible,water_eligibility_reason,target_chain_ids,n_target_heavy_atoms,n_target_polar_atoms,n_foreign_chain_polar_atoms,n_ordinary_contact_edges,n_nonlocal_contact_edges,n_contact_communities,n_ecod_labeled_residues,n_ecod_domains,all_water_count,occupancy_pass_count,bfactor_pass_count,retained_water_count,excluded_foreign_chain_contact_count,protein_bfactor_median,protein_bfactor_scaled_mad,water_bfactor_limit
1bgf_A,True,True,ok,,exact,1.0,1.0,X-RAY DIFFRACTION,1.45,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1bgf.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/train_contacts_ca8.json.gz,1179.0,True,eligible,A,1018.0,373.0,0.0,539.0,294.0,11.0,124.0,1.0,161.0,161.0,47.0,30.0,0.0,6.66,3.358088999999999,16.734266999999996
1bkp_A,True,True,ok,,exact,1.0,1.0,X-RAY DIFFRACTION,1.7,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1bkp.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/train_contacts_ca8.json.gz,4957.0,True,eligible,A,2301.0,830.0,833.0,1307.0,754.0,13.0,278.0,1.0,349.0,349.0,190.0,81.0,20.0,20.1,7.4723039999999985,42.516912
1bq8_A,True,True,ok,,exact,1.0,1.0,X-RAY DIFFRACTION,1.1,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1bq8.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/train_contacts_ca8.json.gz,612.0,True,eligible,A,421.0,154.0,0.0,223.0,118.0,7.0,52.0,1.0,190.0,160.0,28.0,21.0,0.0,3.87,1.1564280000000002,7.339284000000001
1btk_A,True,True,ok,,aligned,1.0,0.9467455621301775,X-RAY DIFFRACTION,1.6,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1btk.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/test_contacts_ca8.json.gz,2924.0,True,eligible,A,1318.0,469.0,483.0,717.0,403.0,10.0,160.0,2.0,248.0,248.0,233.0,98.0,14.0,17.259999999999998,8.45082,42.61246
1bx7_A,True,True,ok,,aligned,1.0,0.9272727272727272,X-RAY DIFFRACTION,1.2,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1bx7.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/train_contacts_ca8.json.gz,428.0,True,eligible,A,366.0,149.0,0.0,195.0,96.0,9.0,51.0,1.0,52.0,52.0,31.0,28.0,0.0,13.870000000000001,5.641292999999999,30.793879
1bxy_A,True,True,ok,,exact,1.0,1.0,X-RAY DIFFRACTION,1.9,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1bxy.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/train_contacts_ca8.json.gz,1030.0,True,eligible,A,476.0,173.0,173.0,263.0,146.0,7.0,60.0,1.0,78.0,78.0,31.0,14.0,0.0,30.585,7.553847,53.246541
1by2_A,True,True,ok,,aligned,1.0,0.9411764705882353,X-RAY DIFFRACTION,2.0,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1by2.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/train_contacts_ca8.json.gz,903.0,True,eligible,A,832.0,328.0,0.0,600.0,382.0,7.0,112.0,1.0,57.0,57.0,24.0,23.0,0.0,16.979999999999997,6.019355999999999,35.038067999999996
1c1k_A,True,True,ok,,exact,1.0,1.0,X-RAY DIFFRACTION,1.45,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1c1k.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/train_contacts_ca8.json.gz,2150.0,True,eligible,A,1838.0,635.0,0.0,975.0,544.0,7.0,217.0,1.0,298.0,298.0,164.0,137.0,0.0,10.585,5.945225999999999,28.420678
1c52_A,True,True,ok,,exact,1.0,1.0,X-RAY DIFFRACTION,1.28,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1c52.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/validation_contacts_ca8.json.gz,1863.0,True,eligible,A,997.0,357.0,0.0,626.0,367.0,8.0,131.0,1.0,196.0,196.0,60.0,48.0,0.0,12.41,4.166106,24.908318
1c96_A,True,True,ok,,exact,1.0,1.0,X-RAY DIFFRACTION,1.81,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1c96.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/train_contacts_ca8.json.gz,6510.0,True,eligible,A,5811.0,2146.0,0.0,4094.0,2591.0,17.0,753.0,4.0,677.0,677.0,558.0,334.0,0.0,32.88,9.058685999999998,60.05605799999999
1chd_A,True,True,ok,,aligned,1.0,0.9753694581280788,X-RAY DIFFRACTION,1.75,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1chd.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/train_contacts_ca8.json.gz,1592.0,True,eligible,A,1469.0,551.0,0.0,1069.0,676.0,6.0,198.0,1.0,123.0,123.0,41.0,41.0,0.0,11.57,2.713158,19.709474
1coj_A,True,True,ok,,aligned,1.0,0.9952830188679245,X-RAY DIFFRACTION,1.9,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1coj.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/validation_contacts_ca8.json.gz,1819.0,True,eligible,A,1716.0,612.0,0.0,1008.0,589.0,10.0,211.0,2.0,102.0,102.0,41.0,39.0,0.0,13.864999999999998,5.478207,30.299621
1cpq_A,True,True,ok,,exact,1.0,1.0,X-RAY DIFFRACTION,1.72,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1cpq.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/test_contacts_ca8.json.gz,1514.0,True,eligible,A,920.0,349.0,0.0,583.0,328.0,6.0,129.0,1.0,116.0,116.0,31.0,28.0,0.0,17.18,5.011187999999998,32.21356399999999
1ctf_A,True,True,ok,,aligned,1.0,0.918918918918919,X-RAY DIFFRACTION,1.7,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1ctf.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/validation_contacts_ca8.json.gz,554.0,True,eligible,A,487.0,181.0,0.0,324.0,191.0,6.0,68.0,1.0,62.0,60.0,30.0,27.0,0.0,12.79,6.404832,32.004496
1cuo_A,True,True,ok,,exact,1.0,1.0,X-RAY DIFFRACTION,1.6,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1cuo.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/train_contacts_ca8.json.gz,1050.0,True,eligible,A,967.0,362.0,0.0,630.0,375.0,6.0,129.0,1.0,82.0,82.0,52.0,47.0,0.0,17.71,6.656874,37.680622
1d2t_A,True,True,ok,,aligned,1.0,0.961038961038961,X-RAY DIFFRACTION,1.9,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1d2t.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/train_contacts_ca8.json.gz,1937.0,True,eligible,A,1696.0,636.0,0.0,1142.0,705.0,10.0,222.0,1.0,236.0,236.0,101.0,79.0,0.0,22.02,5.856270000000001,39.58881
1d3y_B,True,True,ok,,aligned,1.0,0.9634551495016611,X-RAY DIFFRACTION,2.0,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1d3y.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/train_contacts_ca8.json.gz,4979.0,True,eligible,B,2326.0,841.0,839.0,1405.0,831.0,9.0,288.0,3.0,326.0,326.0,235.0,113.0,29.0,18.57,5.174274,34.092822
1d4t_A,True,True,ok,,exact,1.0,1.0,X-RAY DIFFRACTION,1.1,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1d4t.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/train_contacts_ca8.json.gz,1151.0,True,eligible,A,825.0,294.0,32.0,462.0,257.0,11.0,104.0,1.0,236.0,236.0,51.0,38.0,8.0,12.55,3.7361519999999993,23.758456
1dci_C,True,True,ok,,exact,1.0,1.0,X-RAY DIFFRACTION,1.5,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1dci.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/test_contacts_ca8.json.gz,7420.0,True,eligible,C,2125.0,789.0,1578.0,1364.0,817.0,10.0,275.0,1.0,973.0,971.0,397.0,106.0,27.0,17.81,4.610885999999999,31.642657999999997
1dd3_B,True,True,ok,,exact,1.0,1.0,X-RAY DIFFRACTION,2.0,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1dd3.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/validation_contacts_ca8.json.gz,2637.0,True,eligible,B,945.0,346.0,524.0,601.0,348.0,5.0,128.0,2.0,247.0,247.0,233.0,43.0,19.0,40.9,12.216624000000003,77.54987200000001
1dfu_P,True,True,ok,,exact,1.0,1.0,X-RAY DIFFRACTION,1.8,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1dfu.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/train_contacts_ca8.json.gz,1819.0,True,eligible,P,753.0,274.0,417.0,429.0,244.0,9.0,94.0,1.0,242.0,242.0,185.0,47.0,14.0,24.45,7.057175999999997,45.621527999999984
1dj0_B,True,True,ok,,exact,1.0,1.0,X-RAY DIFFRACTION,1.5,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1dj0.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/train_contacts_ca8.json.gz,4663.0,True,eligible,B,2097.0,764.0,764.0,1308.0,783.0,17.0,264.0,1.0,467.0,467.0,458.0,160.0,18.0,19.97,7.101653999999998,41.274961999999995
1dk8_A,True,True,ok,,exact,1.0,1.0,X-RAY DIFFRACTION,1.57,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1dk8.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/train_contacts_ca8.json.gz,1425.0,True,eligible,A,1179.0,429.0,0.0,634.0,343.0,18.0,147.0,1.0,178.0,178.0,51.0,45.0,0.0,9.39,3.098634000000001,18.685902000000006
1dlj_A,True,True,ok,,exact,1.0,1.0,X-RAY DIFFRACTION,1.8,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1dlj.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/train_contacts_ca8.json.gz,3711.0,True,eligible,A,3203.0,1159.0,0.0,1956.0,1155.0,16.0,402.0,3.0,394.0,394.0,309.0,241.0,0.0,29.48,8.747340000000003,55.722020000000015
1doi_A,True,True,ok,,exact,1.0,1.0,X-RAY DIFFRACTION,1.9,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1doi.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/train_contacts_ca8.json.gz,1254.0,True,eligible,A,1007.0,385.0,0.0,632.0,379.0,5.0,128.0,1.0,237.0,237.0,36.0,32.0,0.0,3.32,1.9570319999999997,9.191095999999998
1dow_A,True,True,ok,,exact,1.0,1.0,X-RAY DIFFRACTION,1.8,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1dow.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/test_contacts_ca8.json.gz,2076.0,True,eligible,A,1571.0,584.0,93.0,974.0,567.0,6.0,205.0,1.0,252.0,252.0,237.0,143.0,5.0,23.37,7.146132,44.808396
1dpt_A,True,True,ok,,exact,1.0,1.0,X-RAY DIFFRACTION,1.54,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1dpt.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/test_contacts_ca8.json.gz,2903.0,True,eligible,A,885.0,321.0,642.0,525.0,294.0,6.0,117.0,1.0,248.0,248.0,95.0,22.0,1.0,13.15,4.862927999999998,27.738783999999995
1dtd_B,True,True,ok,,exact,1.0,1.0,X-RAY DIFFRACTION,1.65,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1dtd.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/train_contacts_ca8.json.gz,3085.0,True,eligible,B,472.0,176.0,856.0,276.0,157.0,6.0,61.0,1.0,231.0,231.0,155.0,21.0,5.0,27.225,7.657629000000001,50.19788700000001
1dvo_A,True,True,ok,,exact,1.0,1.0,X-RAY DIFFRACTION,2.0,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1dvo.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/train_contacts_ca8.json.gz,1428.0,True,eligible,A,1219.0,452.0,0.0,667.0,366.0,6.0,152.0,1.0,209.0,209.0,206.0,136.0,0.0,18.47,11.742191999999996,53.696575999999986
1dwk_A,True,True,ok,,exact,1.0,1.0,X-RAY DIFFRACTION,1.65,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1dwk.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/train_contacts_ca8.json.gz,14579.0,True,eligible,A,1197.0,426.0,3762.0,654.0,345.0,10.0,156.0,2.0,2464.0,2464.0,821.0,55.0,53.0,11.29,3.825107999999997,22.765323999999993
1dzf_A,True,True,ok,,aligned,1.0,0.9813953488372092,X-RAY DIFFRACTION,1.9,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1dzf.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/test_contacts_ca8.json.gz,1894.0,True,eligible,A,1725.0,628.0,0.0,953.0,534.0,11.0,211.0,2.0,169.0,169.0,153.0,131.0,0.0,22.14,6.790308000000002,42.510924
1ear_A,True,True,ok,,aligned,1.0,0.9659863945578231,X-RAY DIFFRACTION,1.7,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1ear.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/train_contacts_ca8.json.gz,1305.0,True,eligible,A,1176.0,430.0,0.0,646.0,365.0,12.0,142.0,2.0,128.0,128.0,127.0,103.0,0.0,27.43,16.323425999999998,76.40027799999999
1ef1_D,True,True,ok,,exact,1.0,1.0,X-RAY DIFFRACTION,1.9,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1ef1.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/train_contacts_ca8.json.gz,6688.0,True,eligible,D,704.0,282.0,1963.0,305.0,128.0,20.0,90.0,1.0,412.0,412.0,380.0,39.0,27.0,26.16,10.333721999999998,57.161165999999994
1egw_B,True,True,ok,,aligned,1.0,0.935064935064935,X-RAY DIFFRACTION,1.5,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1egw.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/train_contacts_ca8.json.gz,4338.0,True,eligible,B,577.0,208.0,1266.0,269.0,128.0,13.0,71.0,1.0,656.0,656.0,519.0,35.0,23.0,21.03,9.444161999999995,49.36248599999999
1esw_A,True,True,ok,,exact,1.0,1.0,X-RAY DIFFRACTION,1.9,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1esw.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/train_contacts_ca8.json.gz,4763.0,True,eligible,A,4064.0,1422.0,0.0,2476.0,1479.0,12.0,500.0,1.0,603.0,603.0,276.0,237.0,0.0,27.98,5.752487999999998,45.23746399999999
